method,K,accuracy,ci_lo,ci_hi,drop,drop_ci_lo,drop_ci_hi,n
QRScore-8B-LME-TRAIN,0,0.9115,0.8646,0.9479,0.0000,0.0000,0.0000,192
QRScore-8B-LME-TRAIN,8,0.6510,0.5885,0.7188,0.2604,0.1979,0.3229,192
QRScore-8B-LME-TRAIN,16,0.2500,0.1875,0.3177,0.6615,0.5938,0.7292,192
QRScore-8B-LME-TRAIN,32,0.1927,0.1406,0.2500,0.7188,0.6406,0.7865,192
QRScore-8B-NQ-TRAIN,0,0.9115,0.8646,0.9479,0.0000,0.0000,0.0000,192
QRScore-8B-NQ-TRAIN,8,0.9010,0.8542,0.9427,0.0104,-0.0208,0.0417,192
QRScore-8B-NQ-TRAIN,16,0.8594,0.8073,0.9062,0.0521,0.0104,0.0990,192
QRScore-8B-NQ-TRAIN,32,0.7708,0.7188,0.8229,0.1406,0.0833,0.2031,192
QRScore-SEC,0,0.9115,0.8698,0.9480,0.0000,0.0000,0.0000,192
QRScore-SEC,8,0.5521,0.4844,0.6198,0.3594,0.2917,0.4323,192
QRScore-SEC,16,0.3958,0.3281,0.4637,0.5156,0.4427,0.5938,192
QRScore-SEC,32,0.2969,0.2396,0.3646,0.6146,0.5417,0.6875,192
QRScore-SEC,48,0.1719,0.1198,0.2293,0.7396,0.6717,0.8073,192
QRScore-SEC,64,0.3177,0.2552,0.3855,0.5938,0.5156,0.6615,192
QRScore-SEC,96,0.1771,0.1250,0.2344,0.7344,0.6665,0.8021,192
QRScore-SEC,128,0.0625,0.0312,0.0990,0.8490,0.7915,0.9010,192
