Method,Task,K=0,K=8,K=16,K=32,K=48,K=64,K=96,K=128
QRScore-8B-LME-TRAIN,OVERALL,0.8921,0.8465,0.8257,0.7801,0.6639,0.6888,0.6722,0.5145
QRScore-8B-LME-TRAIN,registrant_name,0.9756,0.9756,0.9756,0.9756,0.9756,0.9512,0.9024,0.7805
QRScore-8B-LME-TRAIN,headquarters_city,0.9286,0.8571,0.8214,0.7500,0.5714,0.5714,0.7143,0.3571
QRScore-8B-LME-TRAIN,headquarters_state,0.8519,0.8519,0.8148,0.7778,0.5185,0.5185,0.4815,0.5556
QRScore-8B-LME-TRAIN,incorporation_state,0.9688,0.9062,0.9062,0.8438,0.8125,0.8125,0.9062,0.7500
QRScore-8B-LME-TRAIN,incorporation_year,0.8667,0.7333,0.7000,0.7667,0.6333,0.6333,0.6667,0.3333
QRScore-8B-LME-TRAIN,employees_count_total,0.9583,0.9167,0.9167,0.7917,0.6667,0.7500,0.3333,0.2500
QRScore-8B-LME-TRAIN,ceo_lastname,0.9429,0.9429,0.9143,0.8857,0.6857,0.8286,0.8000,0.6857
QRScore-8B-LME-TRAIN,holder_record_amount,0.5417,0.4583,0.4167,0.2500,0.2083,0.2083,0.2917,0.1250
QRScore-8B-NQ-TRAIN,OVERALL,0.8921,0.8921,0.8838,0.8506,0.8465,0.8299,0.6017,0.6349
QRScore-8B-NQ-TRAIN,registrant_name,0.9756,0.9756,0.9756,0.9756,0.9756,0.9512,0.8537,0.7073
QRScore-8B-NQ-TRAIN,headquarters_city,0.9286,0.9286,1.0000,0.8571,0.8571,0.8214,0.6786,0.6429
QRScore-8B-NQ-TRAIN,headquarters_state,0.8519,0.8148,0.8519,0.8889,0.8889,0.8148,0.7778,0.7778
QRScore-8B-NQ-TRAIN,incorporation_state,0.9688,0.9062,0.8750,0.8750,0.9062,0.9375,0.8438,0.8125
QRScore-8B-NQ-TRAIN,incorporation_year,0.8667,0.8667,0.8000,0.7000,0.7667,0.8000,0.3333,0.4333
QRScore-8B-NQ-TRAIN,employees_count_total,0.9583,0.9583,0.9583,0.8750,0.8750,0.8750,0.2917,0.5833
QRScore-8B-NQ-TRAIN,ceo_lastname,0.9429,0.9714,0.9429,0.9429,0.8571,0.7714,0.6286,0.5143
QRScore-8B-NQ-TRAIN,holder_record_amount,0.5417,0.6250,0.5833,0.5833,0.5417,0.5833,0.1667,0.5833
QRScore-SEC,OVERALL,0.8921,0.8382,0.7303,0.7552,0.8050,0.8299,0.6017,0.5975
QRScore-SEC,registrant_name,0.9756,0.9756,0.9756,0.9268,0.9512,0.9512,0.9024,0.7561
QRScore-SEC,headquarters_city,0.9286,0.8214,0.6429,0.6786,0.7857,0.8929,0.6071,0.7500
QRScore-SEC,headquarters_state,0.8519,0.7778,0.4444,0.7407,0.7778,0.7778,0.7778,0.7778
QRScore-SEC,incorporation_state,0.9688,0.8750,0.8750,0.8438,0.9062,0.9062,0.8438,0.7500
QRScore-SEC,incorporation_year,0.8667,0.8000,0.7333,0.7333,0.6333,0.6333,0.4333,0.3333
QRScore-SEC,employees_count_total,0.9583,0.9167,0.7083,0.7083,0.7917,0.9167,0.1667,0.4167
QRScore-SEC,ceo_lastname,0.9429,0.9429,0.8857,0.8571,0.9143,0.9429,0.6857,0.5714
QRScore-SEC,holder_record_amount,0.5417,0.4583,0.3333,0.3750,0.5417,0.5000,0.0833,0.2917
Transfer-ceo_lastname,OVERALL,0.8921,0.8838,0.8921,0.8880,0.8672,0.8631,0.8631,0.7510
Transfer-ceo_lastname,registrant_name,0.9756,0.9756,0.9756,0.9756,0.9512,0.9512,0.9268,0.7805
Transfer-ceo_lastname,headquarters_city,0.9286,0.9286,0.8929,0.8929,0.8571,0.8929,0.9286,0.8214
Transfer-ceo_lastname,headquarters_state,0.8519,0.8148,0.8148,0.8889,0.8519,0.8519,0.8889,0.8519
Transfer-ceo_lastname,incorporation_state,0.9688,0.9688,0.9688,0.9375,0.9062,0.8750,0.9062,0.8750
Transfer-ceo_lastname,incorporation_year,0.8667,0.8000,0.9000,0.8000,0.8667,0.9333,0.8333,0.7000
Transfer-ceo_lastname,employees_count_total,0.9583,0.9583,0.9583,0.9583,0.9583,0.9167,0.9167,0.7917
Transfer-ceo_lastname,ceo_lastname,0.9429,0.9429,0.9429,0.9429,0.8857,0.8286,0.8286,0.7714
Transfer-ceo_lastname,holder_record_amount,0.5417,0.5833,0.5833,0.6250,0.5833,0.5833,0.6250,0.3333
Transfer-employees_count_total,OVERALL,0.8921,0.8797,0.8755,0.8797,0.8216,0.7261,0.5643,0.2199
Transfer-employees_count_total,registrant_name,0.9756,0.9756,0.9756,0.9756,0.9756,0.9512,0.8537,0.6098
Transfer-employees_count_total,headquarters_city,0.9286,0.9286,0.8929,0.8571,0.8571,0.8571,0.6071,0.1071
Transfer-employees_count_total,headquarters_state,0.8519,0.7778,0.7778,0.8519,0.8519,0.8148,0.4444,0.0370
Transfer-employees_count_total,incorporation_state,0.9688,0.9688,0.9688,0.9375,0.8438,0.7188,0.5312,0.1250
Transfer-employees_count_total,incorporation_year,0.8667,0.8000,0.8667,0.8667,0.7667,0.7000,0.4333,0.0333
Transfer-employees_count_total,employees_count_total,0.9583,0.9583,0.8750,0.9167,0.8750,0.8333,0.8333,0.4583
Transfer-employees_count_total,ceo_lastname,0.9429,0.9429,0.9429,0.9429,0.8571,0.4857,0.5143,0.1714
Transfer-employees_count_total,holder_record_amount,0.5417,0.5833,0.5833,0.5833,0.4167,0.3750,0.1667,0.0833
Transfer-headquarters_city,OVERALL,0.8921,0.8008,0.7801,0.8050,0.8423,0.7925,0.5436,0.3278
Transfer-headquarters_city,registrant_name,0.9756,0.9512,0.9756,0.9756,0.9756,0.9512,0.7805,0.5854
Transfer-headquarters_city,headquarters_city,0.9286,0.7857,0.7857,0.7857,0.8571,0.7857,0.5714,0.2857
Transfer-headquarters_city,headquarters_state,0.8519,0.7407,0.4815,0.7407,0.7037,0.7407,0.5556,0.3704
Transfer-headquarters_city,incorporation_state,0.9688,0.8750,0.9062,0.9062,0.9062,0.9062,0.7812,0.6875
Transfer-headquarters_city,incorporation_year,0.8667,0.7000,0.7333,0.7000,0.8333,0.7667,0.5333,0.0667
Transfer-headquarters_city,employees_count_total,0.9583,0.8750,0.8750,0.8750,0.9167,0.8750,0.2500,0.1250
Transfer-headquarters_city,ceo_lastname,0.9429,0.9429,0.9429,0.9429,0.9143,0.8000,0.5429,0.2857
Transfer-headquarters_city,holder_record_amount,0.5417,0.3750,0.3333,0.3333,0.5000,0.3750,0.0833,0.0000
Transfer-headquarters_state,OVERALL,0.8921,0.7842,0.7718,0.7510,0.7718,0.7137,0.7386,0.2822
Transfer-headquarters_state,registrant_name,0.9756,0.9512,0.9756,0.9756,0.9512,0.9512,0.9024,0.5610
Transfer-headquarters_state,headquarters_city,0.9286,0.7857,0.7500,0.6786,0.7500,0.6786,0.6786,0.2500
