Method,Task,Baseline(K=0),Drop@K=8,Drop@K=16,Drop@K=32,Drop@K=48,Drop@K=64,Drop@K=96,Drop@K=128
QRScore-8B-LME-TRAIN,OVERALL,0.8921,0.0456,0.0664,0.1120,0.2282,0.2033,0.2199,0.3776
QRScore-8B-LME-TRAIN,registrant_name,0.9756,0.0000,0.0000,0.0000,0.0000,0.0244,0.0732,0.1951
QRScore-8B-LME-TRAIN,headquarters_city,0.9286,0.0714,0.1071,0.1786,0.3571,0.3571,0.2143,0.5714
QRScore-8B-LME-TRAIN,headquarters_state,0.8519,0.0000,0.0370,0.0741,0.3333,0.3333,0.3704,0.2963
QRScore-8B-LME-TRAIN,incorporation_state,0.9688,0.0625,0.0625,0.1250,0.1562,0.1562,0.0625,0.2188
QRScore-8B-LME-TRAIN,incorporation_year,0.8667,0.1333,0.1667,0.1000,0.2333,0.2333,0.2000,0.5333
QRScore-8B-LME-TRAIN,employees_count_total,0.9583,0.0417,0.0417,0.1667,0.2917,0.2083,0.6250,0.7083
QRScore-8B-LME-TRAIN,ceo_lastname,0.9429,0.0000,0.0286,0.0571,0.2571,0.1143,0.1429,0.2571
QRScore-8B-LME-TRAIN,holder_record_amount,0.5417,0.0833,0.1250,0.2917,0.3333,0.3333,0.2500,0.4167
QRScore-8B-NQ-TRAIN,OVERALL,0.8921,0.0000,0.0083,0.0415,0.0456,0.0622,0.2905,0.2573
QRScore-8B-NQ-TRAIN,registrant_name,0.9756,0.0000,0.0000,0.0000,0.0000,0.0244,0.1220,0.2683
QRScore-8B-NQ-TRAIN,headquarters_city,0.9286,0.0000,-0.0714,0.0714,0.0714,0.1071,0.2500,0.2857
QRScore-8B-NQ-TRAIN,headquarters_state,0.8519,0.0370,0.0000,-0.0370,-0.0370,0.0370,0.0741,0.0741
QRScore-8B-NQ-TRAIN,incorporation_state,0.9688,0.0625,0.0938,0.0938,0.0625,0.0312,0.1250,0.1562
QRScore-8B-NQ-TRAIN,incorporation_year,0.8667,0.0000,0.0667,0.1667,0.1000,0.0667,0.5333,0.4333
QRScore-8B-NQ-TRAIN,employees_count_total,0.9583,0.0000,0.0000,0.0833,0.0833,0.0833,0.6667,0.3750
QRScore-8B-NQ-TRAIN,ceo_lastname,0.9429,-0.0286,0.0000,0.0000,0.0857,0.1714,0.3143,0.4286
QRScore-8B-NQ-TRAIN,holder_record_amount,0.5417,-0.0833,-0.0417,-0.0417,0.0000,-0.0417,0.3750,-0.0417
QRScore-SEC,OVERALL,0.8921,0.0539,0.1618,0.1369,0.0871,0.0622,0.2905,0.2946
QRScore-SEC,registrant_name,0.9756,0.0000,0.0000,0.0488,0.0244,0.0244,0.0732,0.2195
QRScore-SEC,headquarters_city,0.9286,0.1071,0.2857,0.2500,0.1429,0.0357,0.3214,0.1786
QRScore-SEC,headquarters_state,0.8519,0.0741,0.4074,0.1111,0.0741,0.0741,0.0741,0.0741
QRScore-SEC,incorporation_state,0.9688,0.0938,0.0938,0.1250,0.0625,0.0625,0.1250,0.2188
QRScore-SEC,incorporation_year,0.8667,0.0667,0.1333,0.1333,0.2333,0.2333,0.4333,0.5333
QRScore-SEC,employees_count_total,0.9583,0.0417,0.2500,0.2500,0.1667,0.0417,0.7917,0.5417
