condition,gold,idx,mean_logprob,num_answer_tokens,sum_logprob,task
clean,Goodes,104669_1993.txt_ceo_lastname_84,-1.6808238797239028e-05,2,-3.3616477594478056e-05,ceo_lastname
qr_ablate,Goodes,104669_1993.txt_ceo_lastname_84,-8.144489288330078,2,-16.288978576660156,ceo_lastname
patch_qr,Goodes,104669_1993.txt_ceo_lastname_84,-1.733580231666565,2,-3.46716046333313,ceo_lastname
patch_random,Goodes,104669_1993.txt_ceo_lastname_84,-8.106282234191895,2,-16.21256446838379,ceo_lastname
patch_bottom,Goodes,104669_1993.txt_ceo_lastname_84,-8.906620979309082,2,-17.813241958618164,ceo_lastname
patch_same_layer,Goodes,104669_1993.txt_ceo_lastname_84,-8.814191818237305,2,-17.62838363647461,ceo_lastname
clean,Powell,716006_1993.txt_ceo_lastname_119,-3.29007234540768e-05,2,-6.58014469081536e-05,ceo_lastname
qr_ablate,Powell,716006_1993.txt_ceo_lastname_119,-1.9814828634262085,2,-3.962965726852417,ceo_lastname
patch_qr,Powell,716006_1993.txt_ceo_lastname_119,-0.0007038534386083484,2,-0.0014077068772166967,ceo_lastname
patch_random,Powell,716006_1993.txt_ceo_lastname_119,-0.6707849502563477,2,-1.3415699005126953,ceo_lastname
patch_bottom,Powell,716006_1993.txt_ceo_lastname_119,-1.9443557262420654,2,-3.888711452484131,ceo_lastname
patch_same_layer,Powell,716006_1993.txt_ceo_lastname_119,-1.569470763206482,2,-3.138941526412964,ceo_lastname
clean,Bogle,801124_1993.txt_ceo_lastname_134,-0.00029413102311082184,2,-0.0005882620462216437,ceo_lastname
qr_ablate,Bogle,801124_1993.txt_ceo_lastname_134,-2.9574086666107178,2,-5.9148173332214355,ceo_lastname
patch_qr,Bogle,801124_1993.txt_ceo_lastname_134,-2.9697225093841553,2,-5.9394450187683105,ceo_lastname
patch_random,Bogle,801124_1993.txt_ceo_lastname_134,-2.8085670471191406,2,-5.617134094238281,ceo_lastname
patch_bottom,Bogle,801124_1993.txt_ceo_lastname_134,-2.8691797256469727,2,-5.738359451293945,ceo_lastname
patch_same_layer,Bogle,801124_1993.txt_ceo_lastname_134,-2.483799457550049,2,-4.967598915100098,ceo_lastname
clean,Vincent,714655_1993.txt_ceo_lastname_185,-0.00013010468683205545,2,-0.0002602093736641109,ceo_lastname
qr_ablate,Vincent,714655_1993.txt_ceo_lastname_185,-1.1888437271118164,2,-2.377687454223633,ceo_lastname
patch_qr,Vincent,714655_1993.txt_ceo_lastname_185,-0.0034139330964535475,2,-0.006827866192907095,ceo_lastname
patch_random,Vincent,714655_1993.txt_ceo_lastname_185,-1.1228159666061401,2,-2.2456319332122803,ceo_lastname
patch_bottom,Vincent,714655_1993.txt_ceo_lastname_185,-1.3284857273101807,2,-2.6569714546203613,ceo_lastname
patch_same_layer,Vincent,714655_1993.txt_ceo_lastname_185,-0.8729466199874878,2,-1.7458932399749756,ceo_lastname
clean,Berglund,18497_1993.txt_ceo_lastname_35,-0.03767867758870125,3,-0.11303602904081345,ceo_lastname
qr_ablate,Berglund,18497_1993.txt_ceo_lastname_35,-1.3978041410446167,3,-4.1934123039245605,ceo_lastname
patch_qr,Berglund,18497_1993.txt_ceo_lastname_35,-0.8890385031700134,3,-2.6671154499053955,ceo_lastname
patch_random,Berglund,18497_1993.txt_ceo_lastname_35,-1.0442109107971191,3,-3.1326327323913574,ceo_lastname
patch_bottom,Berglund,18497_1993.txt_ceo_lastname_35,-1.2398097515106201,3,-3.7194290161132812,ceo_lastname
patch_same_layer,Berglund,18497_1993.txt_ceo_lastname_35,-0.8575412034988403,3,-2.5726234912872314,ceo_lastname
clean,Drew,812427_1993.txt_ceo_lastname_249,-0.5791347026824951,2,-1.1582694053649902,ceo_lastname
qr_ablate,Drew,812427_1993.txt_ceo_lastname_249,-3.761401653289795,2,-7.52280330657959,ceo_lastname
patch_qr,Drew,812427_1993.txt_ceo_lastname_249,-0.9522148966789246,2,-1.9044297933578491,ceo_lastname
patch_random,Drew,812427_1993.txt_ceo_lastname_249,-3.051957845687866,2,-6.103915691375732,ceo_lastname
patch_bottom,Drew,812427_1993.txt_ceo_lastname_249,-4.911985874176025,2,-9.82397174835205,ceo_lastname
patch_same_layer,Drew,812427_1993.txt_ceo_lastname_249,-3.1020452976226807,2,-6.204090595245361,ceo_lastname
clean,Gressette,754737_1993.txt_ceo_lastname_200,-0.0010541626252233982,3,-0.0031624878756701946,ceo_lastname
qr_ablate,Gressette,754737_1993.txt_ceo_lastname_200,-0.7164289951324463,3,-2.149286985397339,ceo_lastname
patch_qr,Gressette,754737_1993.txt_ceo_lastname_200,-0.005579108372330666,3,-0.016737325116991997,ceo_lastname
patch_random,Gressette,754737_1993.txt_ceo_lastname_200,-0.5059785842895508,3,-1.5179356336593628,ceo_lastname
patch_bottom,Gressette,754737_1993.txt_ceo_lastname_200,-1.0654064416885376,3,-3.1962192058563232,ceo_lastname
patch_same_layer,Gressette,754737_1993.txt_ceo_lastname_200,-1.7216614484786987,3,-5.164984226226807,ceo_lastname
clean,Popham,828530_1993.txt_ceo_lastname_113,-1.053001506079454e-05,3,-3.1590043363394216e-05,ceo_lastname
qr_ablate,Popham,828530_1993.txt_ceo_lastname_113,-0.14256592094898224,3,-0.4276977479457855,ceo_lastname
patch_qr,Popham,828530_1993.txt_ceo_lastname_113,-6.138774915598333e-05,3,-0.00018416323291603476,ceo_lastname
patch_random,Popham,828530_1993.txt_ceo_lastname_113,-0.16682927310466766,3,-0.5004878044128418,ceo_lastname
patch_bottom,Popham,828530_1993.txt_ceo_lastname_113,-0.12634584307670593,3,-0.3790374994277954,ceo_lastname
patch_same_layer,Popham,828530_1993.txt_ceo_lastname_113,-0.07409658282995224,3,-0.22228974103927612,ceo_lastname
clean,Loucks,10456_1993.txt_ceo_lastname_99,-0.00012182004866190255,2,-0.0002436400973238051,ceo_lastname
qr_ablate,Loucks,10456_1993.txt_ceo_lastname_99,-0.9447916746139526,2,-1.8895833492279053,ceo_lastname
