condition,gold,idx,mean_logprob,num_answer_tokens,sum_logprob,task
clean,Goodes,104669_1993.txt_ceo_lastname_84,-1.6808238797239028e-05,2,-3.3616477594478056e-05,ceo_lastname
qr_ablate,Goodes,104669_1993.txt_ceo_lastname_84,-8.144489288330078,2,-16.288978576660156,ceo_lastname
patch_qr,Goodes,104669_1993.txt_ceo_lastname_84,-1.733580231666565,2,-3.46716046333313,ceo_lastname
patch_bottom,Goodes,104669_1993.txt_ceo_lastname_84,-8.906620979309082,2,-17.813241958618164,ceo_lastname
patch_same_layer,Goodes,104669_1993.txt_ceo_lastname_84,-8.814191818237305,2,-17.62838363647461,ceo_lastname
patch_random_00,Goodes,104669_1993.txt_ceo_lastname_84,-8.106282234191895,2,-16.21256446838379,ceo_lastname
patch_random_01,Goodes,104669_1993.txt_ceo_lastname_84,-7.584731578826904,2,-15.169463157653809,ceo_lastname
patch_random_02,Goodes,104669_1993.txt_ceo_lastname_84,-7.648007392883301,2,-15.296014785766602,ceo_lastname
patch_random_03,Goodes,104669_1993.txt_ceo_lastname_84,-8.040827751159668,2,-16.081655502319336,ceo_lastname
patch_random_04,Goodes,104669_1993.txt_ceo_lastname_84,-7.463318347930908,2,-14.926636695861816,ceo_lastname
patch_random_05,Goodes,104669_1993.txt_ceo_lastname_84,-7.666149616241455,2,-15.33229923248291,ceo_lastname
patch_random_06,Goodes,104669_1993.txt_ceo_lastname_84,-8.163796424865723,2,-16.327592849731445,ceo_lastname
patch_random_07,Goodes,104669_1993.txt_ceo_lastname_84,-7.798543930053711,2,-15.597087860107422,ceo_lastname
patch_random_08,Goodes,104669_1993.txt_ceo_lastname_84,-7.773583889007568,2,-15.547167778015137,ceo_lastname
patch_random_09,Goodes,104669_1993.txt_ceo_lastname_84,-7.94510555267334,2,-15.89021110534668,ceo_lastname
patch_random_10,Goodes,104669_1993.txt_ceo_lastname_84,-8.346161842346191,2,-16.692323684692383,ceo_lastname
patch_random_11,Goodes,104669_1993.txt_ceo_lastname_84,-8.323163032531738,2,-16.646326065063477,ceo_lastname
patch_random_12,Goodes,104669_1993.txt_ceo_lastname_84,-8.03383731842041,2,-16.06767463684082,ceo_lastname
patch_random_13,Goodes,104669_1993.txt_ceo_lastname_84,-8.993265151977539,2,-17.986530303955078,ceo_lastname
patch_random_14,Goodes,104669_1993.txt_ceo_lastname_84,-8.260951042175293,2,-16.521902084350586,ceo_lastname
patch_random_15,Goodes,104669_1993.txt_ceo_lastname_84,-8.819321632385254,2,-17.638643264770508,ceo_lastname
patch_random_16,Goodes,104669_1993.txt_ceo_lastname_84,-8.539681434631348,2,-17.079362869262695,ceo_lastname
patch_random_17,Goodes,104669_1993.txt_ceo_lastname_84,-7.577221393585205,2,-15.15444278717041,ceo_lastname
patch_random_18,Goodes,104669_1993.txt_ceo_lastname_84,-6.4936442375183105,2,-12.987288475036621,ceo_lastname
patch_random_19,Goodes,104669_1993.txt_ceo_lastname_84,-8.907094955444336,2,-17.814189910888672,ceo_lastname
patch_matched_layer_random_00,Goodes,104669_1993.txt_ceo_lastname_84,-6.445255279541016,2,-12.890510559082031,ceo_lastname
patch_matched_layer_random_01,Goodes,104669_1993.txt_ceo_lastname_84,-9.938913345336914,2,-19.877826690673828,ceo_lastname
patch_matched_layer_random_02,Goodes,104669_1993.txt_ceo_lastname_84,-8.356058120727539,2,-16.712116241455078,ceo_lastname
patch_matched_layer_random_03,Goodes,104669_1993.txt_ceo_lastname_84,-7.91784143447876,2,-15.83568286895752,ceo_lastname
patch_matched_layer_random_04,Goodes,104669_1993.txt_ceo_lastname_84,-7.932068347930908,2,-15.864136695861816,ceo_lastname
patch_matched_layer_random_05,Goodes,104669_1993.txt_ceo_lastname_84,-5.970097541809082,2,-11.940195083618164,ceo_lastname
patch_matched_layer_random_06,Goodes,104669_1993.txt_ceo_lastname_84,-8.560582160949707,2,-17.121164321899414,ceo_lastname
patch_matched_layer_random_07,Goodes,104669_1993.txt_ceo_lastname_84,-7.58444356918335,2,-15.1688871383667,ceo_lastname
patch_matched_layer_random_08,Goodes,104669_1993.txt_ceo_lastname_84,-8.536720275878906,2,-17.073440551757812,ceo_lastname
patch_matched_layer_random_09,Goodes,104669_1993.txt_ceo_lastname_84,-6.509883880615234,2,-13.019767761230469,ceo_lastname
patch_matched_layer_random_10,Goodes,104669_1993.txt_ceo_lastname_84,-7.569657325744629,2,-15.139314651489258,ceo_lastname
patch_matched_layer_random_11,Goodes,104669_1993.txt_ceo_lastname_84,-7.901998996734619,2,-15.803997993469238,ceo_lastname
patch_matched_layer_random_12,Goodes,104669_1993.txt_ceo_lastname_84,-8.071572303771973,2,-16.143144607543945,ceo_lastname
patch_matched_layer_random_13,Goodes,104669_1993.txt_ceo_lastname_84,-7.350473880767822,2,-14.700947761535645,ceo_lastname
patch_matched_layer_random_14,Goodes,104669_1993.txt_ceo_lastname_84,-7.852393627166748,2,-15.704787254333496,ceo_lastname
patch_matched_layer_random_15,Goodes,104669_1993.txt_ceo_lastname_84,-9.727849006652832,2,-19.455698013305664,ceo_lastname
patch_matched_layer_random_16,Goodes,104669_1993.txt_ceo_lastname_84,-7.50699520111084,2,-15.01399040222168,ceo_lastname
patch_matched_layer_random_17,Goodes,104669_1993.txt_ceo_lastname_84,-8.95176887512207,2,-17.90353775024414,ceo_lastname
patch_matched_layer_random_18,Goodes,104669_1993.txt_ceo_lastname_84,-7.456686973571777,2,-14.913373947143555,ceo_lastname
patch_matched_layer_random_19,Goodes,104669_1993.txt_ceo_lastname_84,-7.541241645812988,2,-15.082483291625977,ceo_lastname
clean,Powell,716006_1993.txt_ceo_lastname_119,-3.29007234540768e-05,2,-6.58014469081536e-05,ceo_lastname
qr_ablate,Powell,716006_1993.txt_ceo_lastname_119,-1.9814828634262085,2,-3.962965726852417,ceo_lastname
patch_qr,Powell,716006_1993.txt_ceo_lastname_119,-0.0007038534386083484,2,-0.0014077068772166967,ceo_lastname
