condition,gold,idx,mean_logprob,num_answer_tokens,sum_logprob,task
clean,Pritzker,100923_1993.txt_ceo_lastname_190,-1.196051380247809e-05,3,-3.588154140743427e-05,ceo_lastname
qr_ablate,Pritzker,100923_1993.txt_ceo_lastname_190,-0.00416276790201664,3,-0.012488303706049919,ceo_lastname
patch_qr,Pritzker,100923_1993.txt_ceo_lastname_190,-0.0001676497486187145,3,-0.0005029492313042283,ceo_lastname
patch_bottom,Pritzker,100923_1993.txt_ceo_lastname_190,-0.007965285331010818,3,-0.023895854130387306,ceo_lastname
patch_same_layer,Pritzker,100923_1993.txt_ceo_lastname_190,-0.02073579654097557,3,-0.062207385897636414,ceo_lastname
patch_random,Pritzker,100923_1993.txt_ceo_lastname_190,-0.0023429691791534424,3,-0.007028907537460327,ceo_lastname
clean,Beard,764764_1993.txt_ceo_lastname_45,-0.00011150790669489652,2,-0.00022301581338979304,ceo_lastname
qr_ablate,Beard,764764_1993.txt_ceo_lastname_45,-0.0035401913337409496,2,-0.007080382667481899,ceo_lastname
patch_qr,Beard,764764_1993.txt_ceo_lastname_45,-0.00022769757197238505,2,-0.0004553951439447701,ceo_lastname
patch_bottom,Beard,764764_1993.txt_ceo_lastname_45,-0.0039503443986177444,2,-0.007900688797235489,ceo_lastname
patch_same_layer,Beard,764764_1993.txt_ceo_lastname_45,-0.008534568361938,2,-0.017069136723876,ceo_lastname
patch_random,Beard,764764_1993.txt_ceo_lastname_45,-0.005355563480407,2,-0.010711126960814,ceo_lastname
clean,Popham,828530_1993.txt_ceo_lastname_113,-1.053001506079454e-05,3,-3.1590043363394216e-05,ceo_lastname
qr_ablate,Popham,828530_1993.txt_ceo_lastname_113,-0.14256592094898224,3,-0.4276977479457855,ceo_lastname
patch_qr,Popham,828530_1993.txt_ceo_lastname_113,-6.138774915598333e-05,3,-0.00018416323291603476,ceo_lastname
patch_bottom,Popham,828530_1993.txt_ceo_lastname_113,-0.12634584307670593,3,-0.3790374994277954,ceo_lastname
patch_same_layer,Popham,828530_1993.txt_ceo_lastname_113,-0.07409658282995224,3,-0.22228974103927612,ceo_lastname
patch_random,Popham,828530_1993.txt_ceo_lastname_113,-0.16682927310466766,3,-0.5004878044128418,ceo_lastname
clean,Sudikoff,799319_1993.txt_ceo_lastname_127,-4.142500529269455e-06,4,-1.657000211707782e-05,ceo_lastname
qr_ablate,Sudikoff,799319_1993.txt_ceo_lastname_127,-0.04935864731669426,4,-0.19743458926677704,ceo_lastname
patch_qr,Sudikoff,799319_1993.txt_ceo_lastname_127,-7.53925196477212e-05,4,-0.0003015700785908848,ceo_lastname
patch_bottom,Sudikoff,799319_1993.txt_ceo_lastname_127,-0.05818571150302887,4,-0.23274284601211548,ceo_lastname
patch_same_layer,Sudikoff,799319_1993.txt_ceo_lastname_127,-0.056724514812231064,4,-0.22689805924892426,ceo_lastname
patch_random,Sudikoff,799319_1993.txt_ceo_lastname_127,-0.044776204973459244,4,-0.17910481989383698,ceo_lastname
clean,Goode,40878_1993.txt_ceo_lastname_19,-1.1443974472058471e-05,2,-2.2887948944116943e-05,ceo_lastname
qr_ablate,Goode,40878_1993.txt_ceo_lastname_19,-4.503047466278076,2,-9.006094932556152,ceo_lastname
patch_qr,Goode,40878_1993.txt_ceo_lastname_19,-0.003895155619829893,2,-0.007790311239659786,ceo_lastname
