condition,gold,idx,mean_logprob,num_answer_tokens,sum_logprob,task
clean,Drew,812427_1993.txt_ceo_lastname_249,-9.55749225616455,2,-19.1149845123291,ceo_lastname
qr_ablate,Drew,812427_1993.txt_ceo_lastname_249,-9.56399154663086,2,-19.12798309326172,ceo_lastname
patch_qr,Drew,812427_1993.txt_ceo_lastname_249,-9.100240707397461,2,-18.200481414794922,ceo_lastname
patch_random,Drew,812427_1993.txt_ceo_lastname_249,-9.727888107299805,2,-19.45577621459961,ceo_lastname
patch_bottom,Drew,812427_1993.txt_ceo_lastname_249,-9.468660354614258,2,-18.937320709228516,ceo_lastname
patch_same_layer,Drew,812427_1993.txt_ceo_lastname_249,-9.600828170776367,2,-19.201656341552734,ceo_lastname
clean,Gressette,754737_1993.txt_ceo_lastname_200,-12.640609741210938,3,-37.92182922363281,ceo_lastname
qr_ablate,Gressette,754737_1993.txt_ceo_lastname_200,-12.188441276550293,3,-36.56532287597656,ceo_lastname
patch_qr,Gressette,754737_1993.txt_ceo_lastname_200,-12.416706085205078,3,-37.250118255615234,ceo_lastname
patch_random,Gressette,754737_1993.txt_ceo_lastname_200,-12.319412231445312,3,-36.95823669433594,ceo_lastname
patch_bottom,Gressette,754737_1993.txt_ceo_lastname_200,-12.025350570678711,3,-36.0760498046875,ceo_lastname
patch_same_layer,Gressette,754737_1993.txt_ceo_lastname_200,-12.190450668334961,3,-36.57135009765625,ceo_lastname
clean,Ross,277509_1993.txt_ceo_lastname_228,-10.317522048950195,1,-10.317522048950195,ceo_lastname
qr_ablate,Ross,277509_1993.txt_ceo_lastname_228,-10.820388793945312,1,-10.820388793945312,ceo_lastname
patch_qr,Ross,277509_1993.txt_ceo_lastname_228,-10.888547897338867,1,-10.888547897338867,ceo_lastname
patch_random,Ross,277509_1993.txt_ceo_lastname_228,-10.734430313110352,1,-10.734430313110352,ceo_lastname
patch_bottom,Ross,277509_1993.txt_ceo_lastname_228,-10.872334480285645,1,-10.872334480285645,ceo_lastname
patch_same_layer,Ross,277509_1993.txt_ceo_lastname_228,-11.074834823608398,1,-11.074834823608398,ceo_lastname
clean,Zandman,103730_1993.txt_ceo_lastname_6,-11.143594741821289,3,-33.430782318115234,ceo_lastname
qr_ablate,Zandman,103730_1993.txt_ceo_lastname_6,-11.349380493164062,3,-34.04814147949219,ceo_lastname
patch_qr,Zandman,103730_1993.txt_ceo_lastname_6,-10.903703689575195,3,-32.71110916137695,ceo_lastname
patch_random,Zandman,103730_1993.txt_ceo_lastname_6,-11.252802848815918,3,-33.75840759277344,ceo_lastname
patch_bottom,Zandman,103730_1993.txt_ceo_lastname_6,-11.190463066101074,3,-33.571388244628906,ceo_lastname
patch_same_layer,Zandman,103730_1993.txt_ceo_lastname_6,-11.316097259521484,3,-33.94829177856445,ceo_lastname
clean,Beard,764764_1993.txt_ceo_lastname_45,-11.693646430969238,2,-23.387292861938477,ceo_lastname
qr_ablate,Beard,764764_1993.txt_ceo_lastname_45,-10.099798202514648,2,-20.199596405029297,ceo_lastname
patch_qr,Beard,764764_1993.txt_ceo_lastname_45,-10.951803207397461,2,-21.903606414794922,ceo_lastname
patch_random,Beard,764764_1993.txt_ceo_lastname_45,-10.04830551147461,2,-20.09661102294922,ceo_lastname
patch_bottom,Beard,764764_1993.txt_ceo_lastname_45,-10.257719039916992,2,-20.515438079833984,ceo_lastname
