condition,gold,idx,mean_logprob,num_answer_tokens,sum_logprob,task
clean,Popham,828530_1993.txt_ceo_lastname_113,-0.00048118349513970315,3,-0.001443550456315279,ceo_lastname
qr_ablate,Popham,828530_1993.txt_ceo_lastname_113,-1.8895440101623535,3,-5.6686320304870605,ceo_lastname
patch_qr,Popham,828530_1993.txt_ceo_lastname_113,-0.49813175201416016,3,-1.4943952560424805,ceo_lastname
patch_random,Popham,828530_1993.txt_ceo_lastname_113,-1.8500306606292725,3,-5.550091743469238,ceo_lastname
patch_bottom,Popham,828530_1993.txt_ceo_lastname_113,-1.8798426389694214,3,-5.639527797698975,ceo_lastname
patch_same_layer,Popham,828530_1993.txt_ceo_lastname_113,-1.6502854824066162,3,-4.9508562088012695,ceo_lastname
clean,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.044459979981184006,2,-0.08891995996236801,ceo_lastname
qr_ablate,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.422463417053223,2,-8.844926834106445,ceo_lastname
patch_qr,Goldsmith,201461_1993.txt_ceo_lastname_77,-3.0013673305511475,2,-6.002734661102295,ceo_lastname
patch_random,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.87396240234375,2,-9.7479248046875,ceo_lastname
patch_bottom,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.418347358703613,2,-8.836694717407227,ceo_lastname
patch_same_layer,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.31961727142334,2,-8.63923454284668,ceo_lastname
clean,Loucks,10456_1993.txt_ceo_lastname_99,-0.011746656149625778,2,-0.023493312299251556,ceo_lastname
qr_ablate,Loucks,10456_1993.txt_ceo_lastname_99,-3.307898759841919,2,-6.615797519683838,ceo_lastname
patch_qr,Loucks,10456_1993.txt_ceo_lastname_99,-0.8415992259979248,2,-1.6831984519958496,ceo_lastname
patch_random,Loucks,10456_1993.txt_ceo_lastname_99,-5.272611618041992,2,-10.545223236083984,ceo_lastname
