condition,gold,idx,mean_logprob,num_answer_tokens,sum_logprob,task
clean,Popham,828530_1993.txt_ceo_lastname_113,-0.00048118349513970315,3,-0.001443550456315279,ceo_lastname
qr_ablate,Popham,828530_1993.txt_ceo_lastname_113,-1.8895440101623535,3,-5.6686320304870605,ceo_lastname
patch_qr,Popham,828530_1993.txt_ceo_lastname_113,-0.49813175201416016,3,-1.4943952560424805,ceo_lastname
patch_bottom,Popham,828530_1993.txt_ceo_lastname_113,-1.8798426389694214,3,-5.639527797698975,ceo_lastname
patch_same_layer,Popham,828530_1993.txt_ceo_lastname_113,-1.6502854824066162,3,-4.9508562088012695,ceo_lastname
patch_random_00,Popham,828530_1993.txt_ceo_lastname_113,-1.8500306606292725,3,-5.550091743469238,ceo_lastname
patch_random_01,Popham,828530_1993.txt_ceo_lastname_113,-1.2172600030899048,3,-3.651779890060425,ceo_lastname
patch_random_02,Popham,828530_1993.txt_ceo_lastname_113,-1.2651121616363525,3,-3.7953364849090576,ceo_lastname
patch_random_03,Popham,828530_1993.txt_ceo_lastname_113,-1.8350284099578857,3,-5.505084991455078,ceo_lastname
patch_random_04,Popham,828530_1993.txt_ceo_lastname_113,-2.0525760650634766,3,-6.15772819519043,ceo_lastname
patch_random_05,Popham,828530_1993.txt_ceo_lastname_113,-1.8979071378707886,3,-5.693721294403076,ceo_lastname
patch_random_06,Popham,828530_1993.txt_ceo_lastname_113,-2.1530652046203613,3,-6.459195137023926,ceo_lastname
patch_random_07,Popham,828530_1993.txt_ceo_lastname_113,-1.979926586151123,3,-5.939779758453369,ceo_lastname
patch_random_08,Popham,828530_1993.txt_ceo_lastname_113,-1.9274530410766602,3,-5.7823591232299805,ceo_lastname
patch_random_09,Popham,828530_1993.txt_ceo_lastname_113,-1.81923508644104,3,-5.457705020904541,ceo_lastname
patch_random_10,Popham,828530_1993.txt_ceo_lastname_113,-1.8769768476486206,3,-5.630930423736572,ceo_lastname
patch_random_11,Popham,828530_1993.txt_ceo_lastname_113,-1.7706893682479858,3,-5.312067985534668,ceo_lastname
