condition,mean_sum_logprob_rescue,n,task
patch_bottom,0.0011133743177500705,16,ceo_lastname
patch_matched_layer_random_00,-0.0609648307931178,16,ceo_lastname
patch_matched_layer_random_01,-0.08570377877070737,16,ceo_lastname
patch_matched_layer_random_02,0.012978585293834461,16,ceo_lastname
patch_matched_layer_random_03,0.06618850983636494,16,ceo_lastname
patch_matched_layer_random_04,0.12540893406946754,16,ceo_lastname
patch_matched_layer_random_05,0.04770052162964715,16,ceo_lastname
patch_matched_layer_random_06,-0.0021114493928853844,16,ceo_lastname
patch_matched_layer_random_07,0.0037907987524310807,16,ceo_lastname
patch_matched_layer_random_08,-0.130003536227654,16,ceo_lastname
patch_matched_layer_random_09,-0.007350968292713812,16,ceo_lastname
patch_matched_layer_random_10,0.014941429478850113,16,ceo_lastname
patch_matched_layer_random_11,0.09292460398831524,16,ceo_lastname
patch_matched_layer_random_12,0.06833815322855721,16,ceo_lastname
patch_matched_layer_random_13,0.07826509469111595,16,ceo_lastname
patch_matched_layer_random_14,0.038225104515790934,16,ceo_lastname
patch_matched_layer_random_15,-0.0032630103815843954,16,ceo_lastname
patch_matched_layer_random_16,0.0765718548774374,16,ceo_lastname
patch_matched_layer_random_17,0.07114695402898483,16,ceo_lastname
patch_matched_layer_random_18,-0.05571230250530231,16,ceo_lastname
patch_matched_layer_random_19,0.050170460192923455,16,ceo_lastname
patch_qr,0.6371779425637383,16,ceo_lastname
patch_random_00,-0.18575516959513938,16,ceo_lastname
patch_random_01,0.16476227115158623,16,ceo_lastname
patch_random_02,0.25063547594874264,16,ceo_lastname
patch_random_03,0.016844286366798265,16,ceo_lastname
patch_random_04,-0.1319915779972783,16,ceo_lastname
patch_random_05,-0.07957330548586655,16,ceo_lastname
patch_random_06,-0.08347185803247696,16,ceo_lastname
patch_random_07,-0.09418212078126875,16,ceo_lastname
patch_random_08,0.005334139178223648,16,ceo_lastname
patch_random_09,0.08448820805919652,16,ceo_lastname
patch_random_10,0.015483779443519008,16,ceo_lastname
patch_random_11,0.04649211406045899,16,ceo_lastname
patch_random_12,0.391779984325517,16,ceo_lastname
patch_random_13,-0.04041496535587643,16,ceo_lastname
patch_random_14,0.02663293168473403,16,ceo_lastname
patch_random_15,-0.2913875040740697,16,ceo_lastname
patch_random_16,0.030804711007772916,16,ceo_lastname
patch_random_17,0.07861871840687173,16,ceo_lastname
patch_random_18,0.13426653246011752,16,ceo_lastname
patch_random_19,-0.08175658157116046,16,ceo_lastname
patch_same_layer,0.04447717915818828,16,ceo_lastname
patch_bottom,0.016600116407143768,16,employees_count_total
patch_matched_layer_random_00,-0.3346809813851481,16,employees_count_total
patch_matched_layer_random_01,1.5806237016177234,16,employees_count_total
patch_matched_layer_random_02,-1.708813841366805,16,employees_count_total
patch_matched_layer_random_03,-0.022813203424996792,16,employees_count_total
patch_matched_layer_random_04,-1.5565797475425887,16,employees_count_total
patch_matched_layer_random_05,-0.44538013777074387,16,employees_count_total
patch_matched_layer_random_06,0.6425979349379578,16,employees_count_total
patch_matched_layer_random_07,2.280037268395416,16,employees_count_total
patch_matched_layer_random_08,-0.31397306805509834,16,employees_count_total
patch_matched_layer_random_09,0.5993610201005787,16,employees_count_total
patch_matched_layer_random_10,-0.21984564335548168,16,employees_count_total
patch_matched_layer_random_11,-0.4141130507550351,16,employees_count_total
patch_matched_layer_random_12,0.48017052798408755,16,employees_count_total
patch_matched_layer_random_13,-1.3207839710923446,16,employees_count_total
patch_matched_layer_random_14,-0.6732647232484608,16,employees_count_total
patch_matched_layer_random_15,1.0059367461012578,16,employees_count_total
patch_matched_layer_random_16,-1.5872591061687897,16,employees_count_total
patch_matched_layer_random_17,-1.6650348500417467,16,employees_count_total
patch_matched_layer_random_18,1.194741713907832,16,employees_count_total
patch_matched_layer_random_19,-1.4339286198503987,16,employees_count_total
patch_qr,-6.083749685704814,16,employees_count_total
patch_random_00,2.1599360632560094,16,employees_count_total
patch_random_01,0.5417913770391785,16,employees_count_total
patch_random_02,-2.9435755260852705,16,employees_count_total
patch_random_03,0.09253413914008253,16,employees_count_total
patch_random_04,1.3605514674312411,16,employees_count_total
patch_random_05,-0.5380870700929268,16,employees_count_total
patch_random_06,0.04463220834684958,16,employees_count_total
patch_random_07,1.5561967435655684,16,employees_count_total
patch_random_08,-0.14291662997076993,16,employees_count_total
patch_random_09,-0.01036843752590105,16,employees_count_total
patch_random_10,0.5508696073491827,16,employees_count_total
patch_random_11,0.5917126021626298,16,employees_count_total
patch_random_12,-4.110218394647514,16,employees_count_total
patch_random_13,-0.23958969241037406,16,employees_count_total
patch_random_14,-1.4905599000404632,16,employees_count_total
patch_random_15,0.6954572731713564,16,employees_count_total
patch_random_16,0.008415887213688343,16,employees_count_total
patch_random_17,-0.7830145328033695,16,employees_count_total
patch_random_18,-1.4973298537724122,16,employees_count_total
patch_random_19,0.5520178857629576,16,employees_count_total
patch_same_layer,-0.3501424007059664,16,employees_count_total
patch_bottom,0.013655781744009277,4,headquarters_state
patch_matched_layer_random_00,-0.01754498003621577,4,headquarters_state
patch_matched_layer_random_01,-0.1243224098200632,4,headquarters_state
patch_matched_layer_random_02,0.026695246633691952,4,headquarters_state
patch_matched_layer_random_03,0.12410398028253264,4,headquarters_state
patch_matched_layer_random_04,0.16546338641640648,4,headquarters_state
patch_matched_layer_random_05,0.09712712591129977,4,headquarters_state
patch_matched_layer_random_06,0.013031508538183748,4,headquarters_state
patch_matched_layer_random_07,0.03254667000647407,4,headquarters_state
patch_matched_layer_random_08,-0.2781840491665379,4,headquarters_state
patch_matched_layer_random_09,0.05244177287634197,4,headquarters_state
patch_matched_layer_random_10,0.02342554648189609,4,headquarters_state
patch_matched_layer_random_11,0.17309504294412562,4,headquarters_state
patch_matched_layer_random_12,0.1662090977348714,4,headquarters_state
patch_matched_layer_random_13,0.14591057346684214,4,headquarters_state
patch_matched_layer_random_14,0.07290774639915028,4,headquarters_state
patch_matched_layer_random_15,0.04297724864300936,4,headquarters_state
patch_matched_layer_random_16,0.04694428413582478,4,headquarters_state
patch_matched_layer_random_17,0.19080165609856412,4,headquarters_state
patch_matched_layer_random_18,-0.055992883061752645,4,headquarters_state
patch_matched_layer_random_19,0.08861176276738066,4,headquarters_state
patch_qr,0.3485827183087355,4,headquarters_state
patch_random_00,-0.06933732068983968,4,headquarters_state
patch_random_01,0.08197345413810939,4,headquarters_state
patch_random_02,0.13748587157169323,4,headquarters_state
patch_random_03,0.012132942610328816,4,headquarters_state
patch_random_04,-0.07446783092480722,4,headquarters_state
patch_random_05,-0.09055819670230886,4,headquarters_state
patch_random_06,-0.121081983403903,4,headquarters_state
patch_random_07,0.03604442825416997,4,headquarters_state
patch_random_08,-0.017417804253290724,4,headquarters_state
patch_random_09,0.022115192862582584,4,headquarters_state
patch_random_10,0.037073629217613535,4,headquarters_state
patch_random_11,0.08104129468365798,4,headquarters_state
patch_random_12,0.16536605105181745,4,headquarters_state
patch_random_13,-0.01982383755901843,4,headquarters_state
patch_random_14,0.014098480942815765,4,headquarters_state
patch_random_15,-0.4341440678729669,4,headquarters_state
patch_random_16,0.08430583223530069,4,headquarters_state
patch_random_17,0.05370453428281948,4,headquarters_state
patch_random_18,0.1129966609581667,4,headquarters_state
patch_random_19,-0.05286377590291294,4,headquarters_state
patch_same_layer,0.07652432803743392,4,headquarters_state
patch_bottom,0.02207250454504713,6,registrant_name
patch_matched_layer_random_00,-0.4528347040932492,6,registrant_name
patch_matched_layer_random_01,-0.25150063218608176,6,registrant_name
patch_matched_layer_random_02,0.1349118558820027,6,registrant_name
patch_matched_layer_random_03,7.627668403103333e-05,6,registrant_name
patch_matched_layer_random_04,0.2937079752278277,6,registrant_name
patch_matched_layer_random_05,-0.20606032715909064,6,registrant_name
patch_matched_layer_random_06,-0.44471860642979505,6,registrant_name
patch_matched_layer_random_07,-0.07672127060163238,6,registrant_name
patch_matched_layer_random_08,-0.36995989432468485,6,registrant_name
patch_matched_layer_random_09,0.00948729152435333,6,registrant_name
patch_matched_layer_random_10,-0.22995828499699691,6,registrant_name
patch_matched_layer_random_11,0.4297428275837012,6,registrant_name
patch_matched_layer_random_12,0.37156904207969954,6,registrant_name
patch_matched_layer_random_13,0.4298313075067101,6,registrant_name
patch_matched_layer_random_14,0.08122863399287637,6,registrant_name
patch_matched_layer_random_15,-0.546790673228054,6,registrant_name
patch_matched_layer_random_16,0.2528080202171657,6,registrant_name
patch_matched_layer_random_17,-0.06912855870023545,6,registrant_name
patch_matched_layer_random_18,-0.0535404084598465,6,registrant_name
patch_matched_layer_random_19,-0.09718850115897269,6,registrant_name
patch_qr,1.0169175397015637,6,registrant_name
patch_random_00,-0.1040370948471205,6,registrant_name
patch_random_01,0.0745868567268526,6,registrant_name
patch_random_02,0.36272612902064805,6,registrant_name
patch_random_03,-0.003826587064453437,6,registrant_name
patch_random_04,-0.6296468336348169,6,registrant_name
patch_random_05,0.10526075171590658,6,registrant_name
patch_random_06,-0.028246481005753072,6,registrant_name
patch_random_07,-0.4391230081923108,6,registrant_name
patch_random_08,-0.1194294047498381,6,registrant_name
patch_random_09,-0.15826683477183862,6,registrant_name
patch_random_10,0.17842630296363074,6,registrant_name
patch_random_11,0.08173594504809625,6,registrant_name
patch_random_12,0.715212781311472,6,registrant_name
patch_random_13,-0.06345758504448078,6,registrant_name
patch_random_14,0.11879621509618787,6,registrant_name
