condition,gold,idx,mean_logprob,num_answer_tokens,sum_logprob,task
clean,Pritzker,100923_1993.txt_ceo_lastname_190,-0.0022814723197370768,3,-0.006844416726380587,ceo_lastname
qr_ablate,Pritzker,100923_1993.txt_ceo_lastname_190,-0.0005824252730235457,3,-0.0017472758190706372,ceo_lastname
patch_qr,Pritzker,100923_1993.txt_ceo_lastname_190,-0.0005911052576266229,3,-0.0017733157146722078,ceo_lastname
patch_bottom,Pritzker,100923_1993.txt_ceo_lastname_190,-0.0005824252730235457,3,-0.0017472758190706372,ceo_lastname
patch_same_layer,Pritzker,100923_1993.txt_ceo_lastname_190,-0.0005824252730235457,3,-0.0017472758190706372,ceo_lastname
patch_random,Pritzker,100923_1993.txt_ceo_lastname_190,-0.0005824252730235457,3,-0.0017472758190706372,ceo_lastname
clean,Beard,764764_1993.txt_ceo_lastname_45,-0.00011061407712986693,2,-0.00022122815425973386,ceo_lastname
qr_ablate,Beard,764764_1993.txt_ceo_lastname_45,-0.00021018162078689784,2,-0.0004203632415737957,ceo_lastname
patch_qr,Beard,764764_1993.txt_ceo_lastname_45,-0.00015101548342499882,2,-0.00030203096684999764,ceo_lastname
patch_bottom,Beard,764764_1993.txt_ceo_lastname_45,-0.00021018162078689784,2,-0.0004203632415737957,ceo_lastname
patch_same_layer,Beard,764764_1993.txt_ceo_lastname_45,-0.00021018162078689784,2,-0.0004203632415737957,ceo_lastname
patch_random,Beard,764764_1993.txt_ceo_lastname_45,-0.00021018162078689784,2,-0.0004203632415737957,ceo_lastname
clean,Popham,828530_1993.txt_ceo_lastname_113,-0.00048118349513970315,3,-0.001443550456315279,ceo_lastname
qr_ablate,Popham,828530_1993.txt_ceo_lastname_113,-0.00024040065181907266,3,-0.0007212019409053028,ceo_lastname
patch_qr,Popham,828530_1993.txt_ceo_lastname_113,-0.0002693068818189204,3,-0.0008079205872491002,ceo_lastname
patch_bottom,Popham,828530_1993.txt_ceo_lastname_113,-0.00024040065181907266,3,-0.0007212019409053028,ceo_lastname
patch_same_layer,Popham,828530_1993.txt_ceo_lastname_113,-0.00024040065181907266,3,-0.0007212019409053028,ceo_lastname
patch_random,Popham,828530_1993.txt_ceo_lastname_113,-0.00024040065181907266,3,-0.0007212019409053028,ceo_lastname
clean,Sudikoff,799319_1993.txt_ceo_lastname_127,-0.0002457716327626258,4,-0.0009830865310505033,ceo_lastname
qr_ablate,Sudikoff,799319_1993.txt_ceo_lastname_127,-0.0002479989198036492,4,-0.0009919956792145967,ceo_lastname
patch_qr,Sudikoff,799319_1993.txt_ceo_lastname_127,-0.0002652727998793125,4,-0.00106109119951725,ceo_lastname
patch_bottom,Sudikoff,799319_1993.txt_ceo_lastname_127,-0.0002479989198036492,4,-0.0009919956792145967,ceo_lastname
patch_same_layer,Sudikoff,799319_1993.txt_ceo_lastname_127,-0.0002479989198036492,4,-0.0009919956792145967,ceo_lastname
patch_random,Sudikoff,799319_1993.txt_ceo_lastname_127,-0.0002479989198036492,4,-0.0009919956792145967,ceo_lastname
clean,Goode,40878_1993.txt_ceo_lastname_19,-0.0046117608435451984,2,-0.009223521687090397,ceo_lastname
qr_ablate,Goode,40878_1993.txt_ceo_lastname_19,-0.004799042362719774,2,-0.009598084725439548,ceo_lastname
patch_qr,Goode,40878_1993.txt_ceo_lastname_19,-0.005166169721633196,2,-0.010332339443266392,ceo_lastname
patch_bottom,Goode,40878_1993.txt_ceo_lastname_19,-0.004799042362719774,2,-0.009598084725439548,ceo_lastname
patch_same_layer,Goode,40878_1993.txt_ceo_lastname_19,-0.004799042362719774,2,-0.009598084725439548,ceo_lastname
patch_random,Goode,40878_1993.txt_ceo_lastname_19,-0.004799042362719774,2,-0.009598084725439548,ceo_lastname
clean,McCraw,37748_1993.txt_ceo_lastname_63,-0.07395684719085693,2,-0.14791369438171387,ceo_lastname
qr_ablate,McCraw,37748_1993.txt_ceo_lastname_63,-0.08823153376579285,2,-0.1764630675315857,ceo_lastname
patch_qr,McCraw,37748_1993.txt_ceo_lastname_63,-0.08461616188287735,2,-0.1692323237657547,ceo_lastname
patch_bottom,McCraw,37748_1993.txt_ceo_lastname_63,-0.08823153376579285,2,-0.1764630675315857,ceo_lastname
patch_same_layer,McCraw,37748_1993.txt_ceo_lastname_63,-0.08823153376579285,2,-0.1764630675315857,ceo_lastname
patch_random,McCraw,37748_1993.txt_ceo_lastname_63,-0.08823153376579285,2,-0.1764630675315857,ceo_lastname
clean,Goodes,104669_1993.txt_ceo_lastname_84,-0.12039069831371307,2,-0.24078139662742615,ceo_lastname
qr_ablate,Goodes,104669_1993.txt_ceo_lastname_84,-0.04406913369894028,2,-0.08813826739788055,ceo_lastname
patch_qr,Goodes,104669_1993.txt_ceo_lastname_84,-0.04225927218794823,2,-0.08451854437589645,ceo_lastname
patch_bottom,Goodes,104669_1993.txt_ceo_lastname_84,-0.04406913369894028,2,-0.08813826739788055,ceo_lastname
patch_same_layer,Goodes,104669_1993.txt_ceo_lastname_84,-0.04406913369894028,2,-0.08813826739788055,ceo_lastname
patch_random,Goodes,104669_1993.txt_ceo_lastname_84,-0.04406913369894028,2,-0.08813826739788055,ceo_lastname
clean,Allender,34501_1993.txt_ceo_lastname_220,-0.00020542179117910564,2,-0.0004108435823582113,ceo_lastname
qr_ablate,Allender,34501_1993.txt_ceo_lastname_220,-0.0004498922498896718,2,-0.0008997844997793436,ceo_lastname
patch_qr,Allender,34501_1993.txt_ceo_lastname_220,-0.0003759199462365359,2,-0.0007518398924730718,ceo_lastname
patch_bottom,Allender,34501_1993.txt_ceo_lastname_220,-0.0004498922498896718,2,-0.0008997844997793436,ceo_lastname
patch_same_layer,Allender,34501_1993.txt_ceo_lastname_220,-0.0004498922498896718,2,-0.0008997844997793436,ceo_lastname
patch_random,Allender,34501_1993.txt_ceo_lastname_220,-0.0004498922498896718,2,-0.0008997844997793436,ceo_lastname
clean,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.044459979981184006,2,-0.08891995996236801,ceo_lastname
qr_ablate,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.019318239763379097,2,-0.038636479526758194,ceo_lastname
patch_qr,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.017617274075746536,2,-0.03523454815149307,ceo_lastname
patch_bottom,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.019318239763379097,2,-0.038636479526758194,ceo_lastname
patch_same_layer,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.019318239763379097,2,-0.038636479526758194,ceo_lastname
patch_random,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.019318239763379097,2,-0.038636479526758194,ceo_lastname
clean,Berglund,18497_1993.txt_ceo_lastname_35,-0.27810919284820557,3,-0.8343275785446167,ceo_lastname
qr_ablate,Berglund,18497_1993.txt_ceo_lastname_35,-0.2760218381881714,3,-0.8280654549598694,ceo_lastname
patch_qr,Berglund,18497_1993.txt_ceo_lastname_35,-0.268772691488266,3,-0.8063180446624756,ceo_lastname
patch_bottom,Berglund,18497_1993.txt_ceo_lastname_35,-0.2760218381881714,3,-0.8280654549598694,ceo_lastname
patch_same_layer,Berglund,18497_1993.txt_ceo_lastname_35,-0.2760218381881714,3,-0.8280654549598694,ceo_lastname
patch_random,Berglund,18497_1993.txt_ceo_lastname_35,-0.2760218381881714,3,-0.8280654549598694,ceo_lastname
clean,Thomas,36326_1993.txt_ceo_lastname_142,-0.0016608743462711573,1,-0.0016608743462711573,ceo_lastname
qr_ablate,Thomas,36326_1993.txt_ceo_lastname_142,-0.0021870045457035303,1,-0.0021870045457035303,ceo_lastname
patch_qr,Thomas,36326_1993.txt_ceo_lastname_142,-0.0018537732539698482,1,-0.0018537732539698482,ceo_lastname
patch_bottom,Thomas,36326_1993.txt_ceo_lastname_142,-0.0021870045457035303,1,-0.0021870045457035303,ceo_lastname
patch_same_layer,Thomas,36326_1993.txt_ceo_lastname_142,-0.0021870045457035303,1,-0.0021870045457035303,ceo_lastname
patch_random,Thomas,36326_1993.txt_ceo_lastname_142,-0.0021870045457035303,1,-0.0021870045457035303,ceo_lastname
clean,Ross,277509_1993.txt_ceo_lastname_228,-0.001358658540993929,1,-0.001358658540993929,ceo_lastname
qr_ablate,Ross,277509_1993.txt_ceo_lastname_228,-0.0009958551963791251,1,-0.0009958551963791251,ceo_lastname
patch_qr,Ross,277509_1993.txt_ceo_lastname_228,-0.0010608765296638012,1,-0.0010608765296638012,ceo_lastname
patch_bottom,Ross,277509_1993.txt_ceo_lastname_228,-0.0009958551963791251,1,-0.0009958551963791251,ceo_lastname
patch_same_layer,Ross,277509_1993.txt_ceo_lastname_228,-0.0009958551963791251,1,-0.0009958551963791251,ceo_lastname
patch_random,Ross,277509_1993.txt_ceo_lastname_228,-0.0009958551963791251,1,-0.0009958551963791251,ceo_lastname
clean,Zandman,103730_1993.txt_ceo_lastname_6,-0.0004000574117526412,3,-0.0012001722352579236,ceo_lastname
qr_ablate,Zandman,103730_1993.txt_ceo_lastname_6,-0.0003106311778537929,3,-0.0009318934753537178,ceo_lastname
patch_qr,Zandman,103730_1993.txt_ceo_lastname_6,-0.0002768360427580774,3,-0.0008305080700665712,ceo_lastname
patch_bottom,Zandman,103730_1993.txt_ceo_lastname_6,-0.0003106311778537929,3,-0.0009318934753537178,ceo_lastname
patch_same_layer,Zandman,103730_1993.txt_ceo_lastname_6,-0.0003106311778537929,3,-0.0009318934753537178,ceo_lastname
patch_random,Zandman,103730_1993.txt_ceo_lastname_6,-0.0003106311778537929,3,-0.0009318934753537178,ceo_lastname
clean,Lenzie,71180_1993.txt_ceo_lastname_215,-0.00037376716500148177,2,-0.0007475343300029635,ceo_lastname
qr_ablate,Lenzie,71180_1993.txt_ceo_lastname_215,-0.0004699312848970294,2,-0.0009398625697940588,ceo_lastname
patch_qr,Lenzie,71180_1993.txt_ceo_lastname_215,-0.00042655866127461195,2,-0.0008531173225492239,ceo_lastname
patch_bottom,Lenzie,71180_1993.txt_ceo_lastname_215,-0.0004699312848970294,2,-0.0009398625697940588,ceo_lastname
patch_same_layer,Lenzie,71180_1993.txt_ceo_lastname_215,-0.0004699312848970294,2,-0.0009398625697940588,ceo_lastname
patch_random,Lenzie,71180_1993.txt_ceo_lastname_215,-0.0004699312848970294,2,-0.0009398625697940588,ceo_lastname
clean,Cwiertnia,277821_1993.txt_ceo_lastname_157,-0.00972787570208311,4,-0.03891150280833244,ceo_lastname
qr_ablate,Cwiertnia,277821_1993.txt_ceo_lastname_157,-0.01043650507926941,4,-0.04174602031707764,ceo_lastname
patch_qr,Cwiertnia,277821_1993.txt_ceo_lastname_157,-0.009244034998118877,4,-0.03697613999247551,ceo_lastname
patch_bottom,Cwiertnia,277821_1993.txt_ceo_lastname_157,-0.01043650507926941,4,-0.04174602031707764,ceo_lastname
patch_same_layer,Cwiertnia,277821_1993.txt_ceo_lastname_157,-0.01043650507926941,4,-0.04174602031707764,ceo_lastname
patch_random,Cwiertnia,277821_1993.txt_ceo_lastname_157,-0.01043650507926941,4,-0.04174602031707764,ceo_lastname
clean,Bogle,801124_1993.txt_ceo_lastname_134,-0.0008959175902418792,2,-0.0017918351804837584,ceo_lastname
qr_ablate,Bogle,801124_1993.txt_ceo_lastname_134,-0.0016146345296874642,2,-0.0032292690593749285,ceo_lastname
patch_qr,Bogle,801124_1993.txt_ceo_lastname_134,-0.0013552012387663126,2,-0.002710402477532625,ceo_lastname
patch_bottom,Bogle,801124_1993.txt_ceo_lastname_134,-0.0016146345296874642,2,-0.0032292690593749285,ceo_lastname
patch_same_layer,Bogle,801124_1993.txt_ceo_lastname_134,-0.0016146345296874642,2,-0.0032292690593749285,ceo_lastname
patch_random,Bogle,801124_1993.txt_ceo_lastname_134,-0.0016146345296874642,2,-0.0032292690593749285,ceo_lastname
clean,0,801124_1993.txt_employees_count_total_132,-1.3579001426696777,1,-1.3579001426696777,employees_count_total
qr_ablate,0,801124_1993.txt_employees_count_total_132,-1.4368127584457397,1,-1.4368127584457397,employees_count_total
patch_qr,0,801124_1993.txt_employees_count_total_132,-1.3423397541046143,1,-1.3423397541046143,employees_count_total
patch_bottom,0,801124_1993.txt_employees_count_total_132,-1.4368127584457397,1,-1.4368127584457397,employees_count_total
patch_same_layer,0,801124_1993.txt_employees_count_total_132,-1.4368127584457397,1,-1.4368127584457397,employees_count_total
patch_random,0,801124_1993.txt_employees_count_total_132,-1.4368127584457397,1,-1.4368127584457397,employees_count_total
clean,4426,277509_1993.txt_employees_count_total_227,-3.3918206691741943,2,-6.783641338348389,employees_count_total
qr_ablate,4426,277509_1993.txt_employees_count_total_227,-3.993241310119629,2,-7.986482620239258,employees_count_total
patch_qr,4426,277509_1993.txt_employees_count_total_227,-3.64957594871521,2,-7.29915189743042,employees_count_total
patch_bottom,4426,277509_1993.txt_employees_count_total_227,-3.993241310119629,2,-7.986482620239258,employees_count_total
patch_same_layer,4426,277509_1993.txt_employees_count_total_227,-3.993241310119629,2,-7.986482620239258,employees_count_total
patch_random,4426,277509_1993.txt_employees_count_total_227,-3.993241310119629,2,-7.986482620239258,employees_count_total
clean,1962,276999_1993.txt_employees_count_total_162,-1.9702107906341553,2,-3.9404215812683105,employees_count_total
qr_ablate,1962,276999_1993.txt_employees_count_total_162,-1.7835297584533691,2,-3.5670595169067383,employees_count_total
patch_qr,1962,276999_1993.txt_employees_count_total_162,-1.7730028629302979,2,-3.5460057258605957,employees_count_total
patch_bottom,1962,276999_1993.txt_employees_count_total_162,-1.7835297584533691,2,-3.5670595169067383,employees_count_total
patch_same_layer,1962,276999_1993.txt_employees_count_total_162,-1.7835297584533691,2,-3.5670595169067383,employees_count_total
patch_random,1962,276999_1993.txt_employees_count_total_162,-1.7835297584533691,2,-3.5670595169067383,employees_count_total
clean,3570,100923_1993.txt_employees_count_total_189,-2.1549410820007324,2,-4.309882164001465,employees_count_total
qr_ablate,3570,100923_1993.txt_employees_count_total_189,-2.0495433807373047,2,-4.099086761474609,employees_count_total
patch_qr,3570,100923_1993.txt_employees_count_total_189,-1.8875881433486938,2,-3.7751762866973877,employees_count_total
patch_bottom,3570,100923_1993.txt_employees_count_total_189,-2.0495433807373047,2,-4.099086761474609,employees_count_total
patch_same_layer,3570,100923_1993.txt_employees_count_total_189,-2.0495433807373047,2,-4.099086761474609,employees_count_total
patch_random,3570,100923_1993.txt_employees_count_total_189,-2.0495433807373047,2,-4.099086761474609,employees_count_total
clean,2260,55387_1993.txt_employees_count_total_10,-2.547231674194336,2,-5.094463348388672,employees_count_total
qr_ablate,2260,55387_1993.txt_employees_count_total_10,-3.3360652923583984,2,-6.672130584716797,employees_count_total
patch_qr,2260,55387_1993.txt_employees_count_total_10,-3.2099218368530273,2,-6.419843673706055,employees_count_total
patch_bottom,2260,55387_1993.txt_employees_count_total_10,-3.3360652923583984,2,-6.672130584716797,employees_count_total
patch_same_layer,2260,55387_1993.txt_employees_count_total_10,-3.3360652923583984,2,-6.672130584716797,employees_count_total
patch_random,2260,55387_1993.txt_employees_count_total_10,-3.3360652923583984,2,-6.672130584716797,employees_count_total
clean,3712,103392_1993.txt_employees_count_total_176,-4.414548397064209,2,-8.829096794128418,employees_count_total
qr_ablate,3712,103392_1993.txt_employees_count_total_176,-5.4402666091918945,2,-10.880533218383789,employees_count_total
patch_qr,3712,103392_1993.txt_employees_count_total_176,-4.970424175262451,2,-9.940848350524902,employees_count_total
patch_bottom,3712,103392_1993.txt_employees_count_total_176,-5.4402666091918945,2,-10.880533218383789,employees_count_total
patch_same_layer,3712,103392_1993.txt_employees_count_total_176,-5.4402666091918945,2,-10.880533218383789,employees_count_total
patch_random,3712,103392_1993.txt_employees_count_total_176,-5.4402666091918945,2,-10.880533218383789,employees_count_total
clean,11500,36326_1993.txt_employees_count_total_141,-4.863256454467773,2,-9.726512908935547,employees_count_total
qr_ablate,11500,36326_1993.txt_employees_count_total_141,-4.759859561920166,2,-9.519719123840332,employees_count_total
patch_qr,11500,36326_1993.txt_employees_count_total_141,-4.8126115798950195,2,-9.625223159790039,employees_count_total
patch_bottom,11500,36326_1993.txt_employees_count_total_141,-4.759859561920166,2,-9.519719123840332,employees_count_total
patch_same_layer,11500,36326_1993.txt_employees_count_total_141,-4.759859561920166,2,-9.519719123840332,employees_count_total
patch_random,11500,36326_1993.txt_employees_count_total_141,-4.759859561920166,2,-9.519719123840332,employees_count_total
clean,1741,71180_1993.txt_employees_count_total_214,-2.521683692932129,2,-5.043367385864258,employees_count_total
qr_ablate,1741,71180_1993.txt_employees_count_total_214,-3.2887251377105713,2,-6.577450275421143,employees_count_total
patch_qr,1741,71180_1993.txt_employees_count_total_214,-3.010861873626709,2,-6.021723747253418,employees_count_total
patch_bottom,1741,71180_1993.txt_employees_count_total_214,-3.2887251377105713,2,-6.577450275421143,employees_count_total
patch_same_layer,1741,71180_1993.txt_employees_count_total_214,-3.2887251377105713,2,-6.577450275421143,employees_count_total
patch_random,1741,71180_1993.txt_employees_count_total_214,-3.2887251377105713,2,-6.577450275421143,employees_count_total
clean,60400,10456_1993.txt_employees_count_total_98,-5.765077114105225,2,-11.53015422821045,employees_count_total
qr_ablate,60400,10456_1993.txt_employees_count_total_98,-5.60145902633667,2,-11.20291805267334,employees_count_total
patch_qr,60400,10456_1993.txt_employees_count_total_98,-5.5120320320129395,2,-11.024064064025879,employees_count_total
patch_bottom,60400,10456_1993.txt_employees_count_total_98,-5.60145902633667,2,-11.20291805267334,employees_count_total
patch_same_layer,60400,10456_1993.txt_employees_count_total_98,-5.60145902633667,2,-11.20291805267334,employees_count_total
patch_random,60400,10456_1993.txt_employees_count_total_98,-5.60145902633667,2,-11.20291805267334,employees_count_total
clean,4151,745287_1993.txt_employees_count_total_38,-4.040112018585205,2,-8.08022403717041,employees_count_total
qr_ablate,4151,745287_1993.txt_employees_count_total_38,-4.829039573669434,2,-9.658079147338867,employees_count_total
patch_qr,4151,745287_1993.txt_employees_count_total_38,-4.524387836456299,2,-9.048775672912598,employees_count_total
patch_bottom,4151,745287_1993.txt_employees_count_total_38,-4.829039573669434,2,-9.658079147338867,employees_count_total
patch_same_layer,4151,745287_1993.txt_employees_count_total_38,-4.829039573669434,2,-9.658079147338867,employees_count_total
patch_random,4151,745287_1993.txt_employees_count_total_38,-4.829039573669434,2,-9.658079147338867,employees_count_total
clean,564,74783_1993.txt_employees_count_total_206,-6.660895347595215,1,-6.660895347595215,employees_count_total
qr_ablate,564,74783_1993.txt_employees_count_total_206,-7.9150519371032715,1,-7.9150519371032715,employees_count_total
