condition,mean_sum_logprob_rescue,n,task
patch_bottom,0.0,16,ceo_lastname
patch_qr,-0.5672119124893422,16,ceo_lastname
patch_random,0.0,16,ceo_lastname
patch_same_layer,0.0,16,ceo_lastname
patch_bottom,0.0,16,employees_count_total
patch_qr,0.175464630393947,16,employees_count_total
patch_random,0.0,16,employees_count_total
patch_same_layer,0.0,16,employees_count_total
patch_bottom,0.0,16,headquarters_state
patch_qr,0.23641340489240859,16,headquarters_state
patch_random,0.0,16,headquarters_state
patch_same_layer,0.0,16,headquarters_state
patch_bottom,0.0,16,registrant_name
patch_qr,0.2928674822907152,16,registrant_name
patch_random,0.0,16,registrant_name
patch_same_layer,0.0,16,registrant_name
