component_type,condition,mean_margin_recovery,median_margin_recovery,n,positive_fraction,task
control,bottom_top1,0.00015816615053420154,3.2866431596407494e-09,29,0.5862068965517241,ceo_lastname
control,bottom_top16,-0.00020379711533768312,-1.9848823952429422e-07,29,0.3793103448275862,ceo_lastname
control,bottom_top2,-8.8394627468659e-05,-3.2885320260121202e-09,29,0.4482758620689655,ceo_lastname
control,bottom_top4,9.559763515454178e-05,0.0,29,0.4827586206896552,ceo_lastname
control,random00_top1,0.00013018237179883898,-4.195737901611888e-08,29,0.27586206896551724,ceo_lastname
control,random00_top16,8.586134791324563e-05,5.630860817501518e-05,29,0.5862068965517241,ceo_lastname
control,random00_top2,6.1970196481734455e-06,-8.8875331130281e-09,29,0.41379310344827586,ceo_lastname
control,random00_top4,6.086105606602081e-05,-6.599233122908904e-07,29,0.3793103448275862,ceo_lastname
control,random01_top1,9.05886290241775e-06,2.7905151228130123e-09,29,0.5517241379310345,ceo_lastname
control,random01_top16,-0.0002973931118060914,-4.3845163357605287e-07,29,0.4482758620689655,ceo_lastname
control,random01_top2,-0.00015305754621653742,-1.333129966954215e-07,29,0.3793103448275862,ceo_lastname
control,random01_top4,3.630314419344914e-05,-7.4193695448942745e-09,29,0.4482758620689655,ceo_lastname
control,random02_top1,-0.00015613970861204214,-3.722556103545224e-08,29,0.3103448275862069,ceo_lastname
control,random02_top16,-0.000221023612593838,-1.3988622492383183e-08,29,0.3793103448275862,ceo_lastname
control,random02_top2,0.00012345637514963781,0.0,29,0.4827586206896552,ceo_lastname
control,random02_top4,1.0906558962323938e-05,-4.384709368016161e-09,29,0.41379310344827586,ceo_lastname
control,random03_top1,-0.00010202797587043953,3.2866431596407494e-09,29,0.5517241379310345,ceo_lastname
control,random03_top16,0.0004490096927370507,0.0,29,0.4827586206896552,ceo_lastname
control,random03_top2,1.0623062171588968e-05,-1.49113055563027e-07,29,0.3793103448275862,ceo_lastname
control,random03_top4,0.00013686581564749379,-4.445415794126973e-09,29,0.3793103448275862,ceo_lastname
control,random04_top1,-0.00011912557228766682,-7.668834039161748e-09,29,0.3793103448275862,ceo_lastname
control,random04_top16,-0.00021293288575558752,-4.6833602205380674e-08,29,0.3103448275862069,ceo_lastname
control,random04_top2,-7.195823581934043e-05,-1.3240802459170678e-09,29,0.41379310344827586,ceo_lastname
control,random04_top4,0.0002927194788510834,1.1950805627677228e-08,29,0.5517241379310345,ceo_lastname
