condition,gold,idx,mean_logprob,num_answer_tokens,span_end,span_start,sum_logprob,task
clean,Popham,828530_1993.txt_ceo_lastname_113,-0.00048118349513970315,3,,,-0.001443550456315279,ceo_lastname
full_qr_ablation,Popham,828530_1993.txt_ceo_lastname_113,-1.8895440101623535,3,,,-5.6686320304870605,ceo_lastname
edge_gold,Popham,828530_1993.txt_ceo_lastname_113,-0.00046483485493808985,3,2691,2669,-0.0013945045648142695,ceo_lastname
edge_distractor,Popham,828530_1993.txt_ceo_lastname_113,-0.0004876114835496992,3,375,353,-0.001462834421545267,ceo_lastname
edge_random,Popham,828530_1993.txt_ceo_lastname_113,-0.00048761151265352964,3,2297,2275,-0.001462834537960589,ceo_lastname
edge_nonqr_gold,Popham,828530_1993.txt_ceo_lastname_113,-0.00046412093797698617,3,2691,2669,-0.0013923627557232976,ceo_lastname
edge_bottom_gold,Popham,828530_1993.txt_ceo_lastname_113,-0.0004898335319012403,3,2691,2669,-0.001469500595703721,ceo_lastname
clean,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.044459979981184006,2,,,-0.08891995996236801,ceo_lastname
full_qr_ablation,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.422463417053223,2,,,-8.844926834106445,ceo_lastname
edge_gold,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.045127227902412415,2,3336,3295,-0.09025445580482483,ceo_lastname
edge_distractor,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.04512729495763779,2,317,276,-0.09025458991527557,ceo_lastname
edge_random,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.04579600319266319,2,2030,1989,-0.09159200638532639,ceo_lastname
edge_nonqr_gold,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.04512740671634674,2,3336,3295,-0.09025481343269348,ceo_lastname
edge_bottom_gold,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.04446821287274361,2,3336,3295,-0.08893642574548721,ceo_lastname
clean,Loucks,10456_1993.txt_ceo_lastname_99,-0.011746656149625778,2,,,-0.023493312299251556,ceo_lastname
full_qr_ablation,Loucks,10456_1993.txt_ceo_lastname_99,-3.307898759841919,2,,,-6.615797519683838,ceo_lastname
edge_gold,Loucks,10456_1993.txt_ceo_lastname_99,-0.013246215879917145,2,3232,3122,-0.02649243175983429,ceo_lastname
