condition,mean_fraction_of_full_ablation_damage,n,task
edge_bottom_gold,1.4982594187341258e-05,12,ceo_lastname
edge_distractor,2.2352165226204228e-05,12,ceo_lastname
edge_gold,0.00442470757175741,12,ceo_lastname
edge_nonqr_gold,-9.26496127783188e-06,12,ceo_lastname
edge_random,1.7925204516631263e-05,12,ceo_lastname
edge_bottom_gold,0.02449754633685146,12,employees_count_total
edge_distractor,0.1048408538227735,11,employees_count_total
edge_gold,1.101345496658878,12,employees_count_total
edge_nonqr_gold,0.31449325508951925,12,employees_count_total
edge_random,0.08506862314133629,12,employees_count_total
edge_bottom_gold,-8.848594472573693e-05,4,headquarters_state
edge_distractor,9.547736574365386e-05,4,headquarters_state
edge_gold,0.0031426142720971007,4,headquarters_state
edge_nonqr_gold,-0.0002720609977008526,4,headquarters_state
edge_random,3.3483363745279508e-06,4,headquarters_state
edge_bottom_gold,-0.0001761737562439906,6,registrant_name
edge_distractor,0.0002578948048283493,5,registrant_name
edge_gold,0.10302510366455053,6,registrant_name
edge_nonqr_gold,-1.5571433395657846e-05,6,registrant_name
edge_random,1.4424391602304792e-05,6,registrant_name
