head,layer,mean_margin_recovery,median_margin_recovery,n,node_id,node_type,positive_fraction,task
0,24,0.00036756566969034857,5.84032876267813e-09,29,attn:24-0,attn,0.5517241379310345,ceo_lastname
1,24,-6.377199059745021e-05,-3.2866431596407494e-09,29,attn:24-1,attn,0.4482758620689655,ceo_lastname
10,24,0.00012711924545293936,2.6481604918341357e-09,29,attn:24-10,attn,0.5172413793103449,ceo_lastname
11,24,-6.559837007025284e-06,-4.384709368016161e-09,29,attn:24-11,attn,0.3793103448275862,ceo_lastname
12,24,0.00010454401516425827,-4.780322251070892e-09,29,attn:24-12,attn,0.3448275862068966,ceo_lastname
13,24,4.38744795614275e-05,1.0464937749787148e-10,29,attn:24-13,attn,0.5172413793103449,ceo_lastname
14,24,0.00015433831298901634,0.0,29,attn:24-14,attn,0.4827586206896552,ceo_lastname
15,24,-0.00014684620726860797,-2.0283502613955614e-08,29,attn:24-15,attn,0.3793103448275862,ceo_lastname
16,24,0.000586526137186328,4.881174157074684e-07,29,attn:24-16,attn,0.5517241379310345,ceo_lastname
17,24,0.02043045679549246,-9.693145671912819e-08,29,attn:24-17,attn,0.4482758620689655,ceo_lastname
18,24,-0.00011826889116221242,-8.764381759041999e-09,29,attn:24-18,attn,0.4482758620689655,ceo_lastname
19,24,3.0912688135820846e-05,2.842927349958093e-09,29,attn:24-19,attn,0.5517241379310345,ceo_lastname
2,24,-4.03369954214151e-05,-8.492531641337962e-08,29,attn:24-2,attn,0.3103448275862069,ceo_lastname
20,24,0.006192488243023475,-3.0784626364239925e-07,29,attn:24-20,attn,0.41379310344827586,ceo_lastname
21,24,-9.874759760161245e-05,-5.477738599401249e-09,29,attn:24-21,attn,0.4482758620689655,ceo_lastname
22,24,0.0019419903084359046,0.0,29,attn:24-22,attn,0.4827586206896552,ceo_lastname
23,24,0.0013037082862052424,-5.975402813838615e-10,29,attn:24-23,attn,0.4827586206896552,ceo_lastname
24,24,0.02557644586392556,-0.0011079102298703172,29,attn:24-24,attn,0.41379310344827586,ceo_lastname
25,24,0.00695621013379364,-1.4023266186927812e-07,29,attn:24-25,attn,0.4482758620689655,ceo_lastname
26,24,0.007952662645520372,0.004859337428268753,29,attn:24-26,attn,0.9310344827586207,ceo_lastname
27,24,0.03224336883562359,0.03005990399432502,29,attn:24-27,attn,0.8275862068965517,ceo_lastname
28,24,-5.3184047192768374e-05,0.0,29,attn:24-28,attn,0.4482758620689655,ceo_lastname
29,24,1.8032347529558075e-05,-2.920164381339065e-09,29,attn:24-29,attn,0.41379310344827586,ceo_lastname
3,24,0.00026202339131991637,-1.0386929104462815e-07,29,attn:24-3,attn,0.41379310344827586,ceo_lastname
30,24,-0.00011434459925571413,-2.651311654812979e-07,29,attn:24-30,attn,0.41379310344827586,ceo_lastname
31,24,-0.00020513372408481593,-3.2866431596407494e-09,29,attn:24-31,attn,0.4482758620689655,ceo_lastname
4,24,-0.0001305795788337853,-2.760189378249355e-07,29,attn:24-4,attn,0.3103448275862069,ceo_lastname
5,24,-6.637789864036223e-05,-8.770332798350783e-08,29,attn:24-5,attn,0.3448275862068966,ceo_lastname
6,24,-7.586921318282609e-05,-6.748967946796294e-06,29,attn:24-6,attn,0.3448275862068966,ceo_lastname
7,24,-0.00014101154115704772,5.84032876267813e-09,29,attn:24-7,attn,0.5172413793103449,ceo_lastname
8,24,7.945940431605293e-05,-2.7977244984766364e-09,29,attn:24-8,attn,0.4827586206896552,ceo_lastname
9,24,-0.00020818142012737624,-1.0103217713924937e-08,29,attn:24-9,attn,0.4482758620689655,ceo_lastname
0,25,8.88676444250175e-06,-8.764381759041999e-09,29,attn:25-0,attn,0.4482758620689655,ceo_lastname
1,25,-0.00023982698307326022,-5.1232695244610125e-09,29,attn:25-1,attn,0.3793103448275862,ceo_lastname
10,25,-5.713145836073282e-05,-3.9722407377512035e-09,29,attn:25-10,attn,0.3793103448275862,ceo_lastname
11,25,-2.4370791153731448e-05,-1.0955477198802499e-09,29,attn:25-11,attn,0.41379310344827586,ceo_lastname
12,25,0.00012904957611738546,-6.348862011430431e-07,29,attn:25-12,attn,0.41379310344827586,ceo_lastname
13,25,0.0013006033862341707,1.8038369246299927e-08,29,attn:25-13,attn,0.5517241379310345,ceo_lastname
14,25,0.005264119450682051,-1.0749698947822435e-08,29,attn:25-14,attn,0.41379310344827586,ceo_lastname
15,25,0.002984405652143854,1.0961773420040402e-09,29,attn:25-15,attn,0.5172413793103449,ceo_lastname
16,25,-0.00012494510309168374,-3.045748035216356e-08,29,attn:25-16,attn,0.41379310344827586,ceo_lastname
17,25,0.00018140971324693463,-4.384709368016161e-09,29,attn:25-17,attn,0.4482758620689655,ceo_lastname
18,25,0.0013704280938121205,5.3778625324547525e-09,29,attn:25-18,attn,0.6896551724137931,ceo_lastname
19,25,-0.0002692282221011407,-6.170566734386803e-05,29,attn:25-19,attn,0.3103448275862069,ceo_lastname
2,25,-3.3630587418616775e-05,1.0955477198802499e-09,29,attn:25-2,attn,0.5172413793103449,ceo_lastname
20,25,-0.00020748828596360534,-3.2885320260121202e-09,29,attn:25-20,attn,0.41379310344827586,ceo_lastname
21,25,-0.00022762991442368412,-0.000120776754042784,29,attn:25-21,attn,0.3793103448275862,ceo_lastname
22,25,0.0001498892749996931,-4.8495445026839694e-09,29,attn:25-22,attn,0.3793103448275862,ceo_lastname
23,25,0.000521700059383176,0.0005766510673902313,29,attn:25-23,attn,0.7241379310344828,ceo_lastname
24,25,-8.88291507820876e-05,-5.296320983668271e-09,29,attn:25-24,attn,0.3793103448275862,ceo_lastname
25,25,-7.618921273026836e-05,-5.477738599401249e-09,29,attn:25-25,attn,0.3793103448275862,ceo_lastname
26,25,-5.114025096796867e-05,0.0,29,attn:25-26,attn,0.4482758620689655,ceo_lastname
27,25,0.0003417180621247306,6.573286319281499e-09,29,attn:25-27,attn,0.5517241379310345,ceo_lastname
28,25,0.00019403672984312788,-4.384709368016161e-09,29,attn:25-28,attn,0.41379310344827586,ceo_lastname
29,25,7.734391462812705e-05,6.996262398541101e-07,29,attn:25-29,attn,0.5517241379310345,ceo_lastname
3,25,1.0356986458374969e-05,-8.890956886739435e-08,29,attn:25-3,attn,0.3103448275862069,ceo_lastname
30,25,0.0003030795132045671,-2.6874247369556087e-09,29,attn:25-30,attn,0.3103448275862069,ceo_lastname
31,25,8.421756584734207e-05,1.7916164913037392e-09,29,attn:25-31,attn,0.5172413793103449,ceo_lastname
4,25,0.0008224162607778927,-1.0220575334686727e-08,29,attn:25-4,attn,0.3793103448275862,ceo_lastname
5,25,0.00980130471263378,0.00029182667334145336,29,attn:25-5,attn,0.6896551724137931,ceo_lastname
6,25,0.004852378003628874,0.000555719116068701,29,attn:25-6,attn,0.6896551724137931,ceo_lastname
7,25,0.019312690375211092,0.0011750880926389242,29,attn:25-7,attn,0.5517241379310345,ceo_lastname
8,25,5.208761198887277e-05,1.895284899972062e-09,29,attn:25-8,attn,0.5172413793103449,ceo_lastname
9,25,7.013408394317788e-05,-5.3748494739112175e-09,29,attn:25-9,attn,0.41379310344827586,ceo_lastname
0,26,-0.002479499800822107,-0.0034779340269116828,29,attn:26-0,attn,0.20689655172413793,ceo_lastname
1,26,-0.003997323575869701,-0.003590667811973817,29,attn:26-1,attn,0.13793103448275862,ceo_lastname
