head,layer,mean_margin_recovery,median_margin_recovery,n,node_id,node_type,position_group,positive_fraction,task
27,24,0.03224336883562359,0.03005990399432502,29,attn:24-27,attn,answer,0.8275862068965517,ceo_lastname
27,24,3.1920575288504123e-05,6.573286319281499e-09,29,attn:24-27,attn,query,0.5862068965517241,ceo_lastname
27,24,1.3704074876440732e-05,0.0,29,attn:24-27,attn,random_prompt,0.3103448275862069,ceo_lastname
3,26,0.02477899843667955,0.024579526731778652,29,attn:26-3,attn,answer,1.0,ceo_lastname
3,26,0.00018472016443991918,4.380246572008597e-09,29,attn:26-3,attn,query,0.5517241379310345,ceo_lastname
3,26,-6.013134949943081e-05,0.0,29,attn:26-3,attn,random_prompt,0.27586206896551724,ceo_lastname
20,27,0.031160643634948346,0.009195400924376484,29,attn:27-20,attn,answer,0.6896551724137931,ceo_lastname
20,27,0.0002369742450428339,5.685854699916186e-09,29,attn:27-20,attn,query,0.5862068965517241,ceo_lastname
20,27,1.0045180829746335e-05,0.0,29,attn:27-20,attn,random_prompt,0.2413793103448276,ceo_lastname
5,27,0.021185822469520468,0.01671852304173683,29,attn:27-5,attn,answer,0.9310344827586207,ceo_lastname
5,27,0.00017098969286974088,8.8875331130281e-09,29,attn:27-5,attn,query,0.5862068965517241,ceo_lastname
5,27,-4.141860351021211e-05,0.0,29,attn:27-5,attn,random_prompt,0.41379310344827586,ceo_lastname
11,29,0.02015268762661282,0.014557943659361392,29,attn:29-11,attn,answer,0.9655172413793104,ceo_lastname
11,29,9.34841237232897e-05,7.768023657990198e-09,29,attn:29-11,attn,query,0.6551724137931034,ceo_lastname
11,29,-2.1819345905100203e-05,0.0,29,attn:29-11,attn,random_prompt,0.3448275862068966,ceo_lastname
8,29,0.01450995138731357,0.012319650081899593,29,attn:29-8,attn,answer,1.0,ceo_lastname
8,29,-2.463202727814435e-05,0.0,29,attn:29-8,attn,query,0.41379310344827586,ceo_lastname
8,29,2.4372305266683943e-05,0.0,29,attn:29-8,attn,random_prompt,0.2413793103448276,ceo_lastname
14,30,0.020496829509587786,0.017243440604579323,29,attn:30-14,attn,answer,0.8275862068965517,ceo_lastname
14,30,-2.179032695342869e-05,0.0,29,attn:30-14,attn,query,0.41379310344827586,ceo_lastname
14,30,-2.3699957034661082e-05,0.0,29,attn:30-14,attn,random_prompt,0.2413793103448276,ceo_lastname
26,30,0.03320446978290747,0.021303254547438966,29,attn:30-26,attn,answer,1.0,ceo_lastname
26,30,-5.821747706374521e-05,0.0,29,attn:30-26,attn,query,0.4827586206896552,ceo_lastname
26,30,-3.1639257909543846e-07,0.0,29,attn:30-26,attn,random_prompt,0.2413793103448276,ceo_lastname
27,30,0.05970360418424493,0.03983349739047893,29,attn:30-27,attn,answer,0.9655172413793104,ceo_lastname
27,30,-5.90605007805391e-05,0.0,29,attn:30-27,attn,query,0.4482758620689655,ceo_lastname
27,30,-8.779473713683406e-07,0.0,29,attn:30-27,attn,random_prompt,0.1724137931034483,ceo_lastname
1,31,0.026444004542127867,0.023661588203413648,29,attn:31-1,attn,answer,1.0,ceo_lastname
1,31,0.0,0.0,29,attn:31-1,attn,query,0.0,ceo_lastname
1,31,0.0,0.0,29,attn:31-1,attn,random_prompt,0.0,ceo_lastname
3,31,0.017074407292412868,0.016102427566711854,29,attn:31-3,attn,answer,1.0,ceo_lastname
3,31,0.0,0.0,29,attn:31-3,attn,query,0.0,ceo_lastname
3,31,0.0,0.0,29,attn:31-3,attn,random_prompt,0.0,ceo_lastname
,26,0.010074141376016966,0.00968580212486147,29,mlp:26,mlp,answer,0.896551724137931,ceo_lastname
,26,6.972114370521952e-05,0.0,29,mlp:26,mlp,query,0.4482758620689655,ceo_lastname
,26,-0.00012496497989336914,0.0,29,mlp:26,mlp,random_prompt,0.20689655172413793,ceo_lastname
,27,0.007810967201568782,0.00822561664847247,29,mlp:27,mlp,answer,0.6896551724137931,ceo_lastname
,27,0.0002877692703787262,1.3306439623925066e-06,29,mlp:27,mlp,query,0.6206896551724138,ceo_lastname
,27,-5.521090741918181e-05,0.0,29,mlp:27,mlp,random_prompt,0.3103448275862069,ceo_lastname
,28,0.037199407264636844,0.025795996311833495,29,mlp:28,mlp,answer,0.9310344827586207,ceo_lastname
,28,0.0003571181215400675,7.683519223915384e-08,29,mlp:28,mlp,query,0.5862068965517241,ceo_lastname
,28,-2.9840317290511145e-05,0.0,29,mlp:28,mlp,random_prompt,0.3103448275862069,ceo_lastname
,30,0.027964441884698273,0.05510358995574967,29,mlp:30,mlp,answer,0.6206896551724138,ceo_lastname
,30,-2.27077341542826e-05,1.895284899972062e-09,29,mlp:30,mlp,query,0.5172413793103449,ceo_lastname
,30,2.356595019146173e-05,0.0,29,mlp:30,mlp,random_prompt,0.2413793103448276,ceo_lastname
,31,0.1664915211004642,0.1621373945974801,29,mlp:31,mlp,answer,0.9310344827586207,ceo_lastname
,31,0.0,0.0,29,mlp:31,mlp,query,0.0,ceo_lastname
,31,0.0,0.0,29,mlp:31,mlp,random_prompt,0.0,ceo_lastname
