head,layer,mean_margin_recovery,median_margin_recovery,n,node_id,node_type,positive_fraction,rank,task
,31,0.1664915211004642,0.1621373945974801,29,mlp:31,mlp,0.9310344827586207,1,ceo_lastname
,30,0.027964441884698273,0.05510358995574967,29,mlp:30,mlp,0.6206896551724138,2,ceo_lastname
27,30,0.05970360418424493,0.03983349739047893,29,attn:30-27,attn,0.9655172413793104,3,ceo_lastname
27,24,0.03224336883562359,0.03005990399432502,29,attn:24-27,attn,0.8275862068965517,4,ceo_lastname
,28,0.037199407264636844,0.025795996311833495,29,mlp:28,mlp,0.9310344827586207,5,ceo_lastname
3,26,0.02477899843667955,0.024579526731778652,29,attn:26-3,attn,1.0,6,ceo_lastname
1,31,0.026444004542127867,0.023661588203413648,29,attn:31-1,attn,1.0,7,ceo_lastname
26,30,0.03320446978290747,0.021303254547438966,29,attn:30-26,attn,1.0,8,ceo_lastname
14,30,0.020496829509587786,0.017243440604579323,29,attn:30-14,attn,0.8275862068965517,9,ceo_lastname
5,27,0.021185822469520468,0.01671852304173683,29,attn:27-5,attn,0.9310344827586207,10,ceo_lastname
3,31,0.017074407292412868,0.016102427566711854,29,attn:31-3,attn,1.0,11,ceo_lastname
11,29,0.02015268762661282,0.014557943659361392,29,attn:29-11,attn,0.9655172413793104,12,ceo_lastname
8,29,0.01450995138731357,0.012319650081899593,29,attn:29-8,attn,1.0,13,ceo_lastname
,26,0.010074141376016966,0.00968580212486147,29,mlp:26,mlp,0.896551724137931,14,ceo_lastname
20,27,0.031160643634948346,0.009195400924376484,29,attn:27-20,attn,0.6896551724137931,15,ceo_lastname
,27,0.007810967201568782,0.00822561664847247,29,mlp:27,mlp,0.6896551724137931,16,ceo_lastname
