head,layer,mean_margin_recovery,median_margin_recovery,n,node_id,node_type,positive_fraction,task
0,24,0.0007957866916798498,-7.403263431690205e-07,12,attn:24-0,attn,0.3333333333333333,ceo_lastname
1,24,0.000269440204447967,0.00019739824371680745,12,attn:24-1,attn,0.6666666666666666,ceo_lastname
10,24,0.00045246918031410045,2.8995841596701504e-05,12,attn:24-10,attn,0.6666666666666666,ceo_lastname
11,24,0.00012089740536836288,-1.141441468445273e-09,12,attn:24-11,attn,0.4166666666666667,ceo_lastname
12,24,0.00037971133366039453,-4.481006243002099e-08,12,attn:24-12,attn,0.3333333333333333,ceo_lastname
13,24,-2.67898456066342e-05,2.423141100993906e-06,12,attn:24-13,attn,0.5833333333333334,ceo_lastname
14,24,0.00029033335097198605,-5.707207342226365e-10,12,attn:24-14,attn,0.4166666666666667,ceo_lastname
15,24,-3.594925302776953e-05,-2.69247677085396e-05,12,attn:24-15,attn,0.4166666666666667,ceo_lastname
16,24,0.0010086897420804747,0.00043500222806221335,12,attn:24-16,attn,0.6666666666666666,ceo_lastname
17,24,0.04133259971156211,0.0004811892408674667,12,attn:24-17,attn,0.5833333333333334,ceo_lastname
18,24,0.0001626212385502941,-1.6221317399145174e-07,12,attn:24-18,attn,0.4166666666666667,ceo_lastname
19,24,0.00019134744600753017,-8.963104220757922e-10,12,attn:24-19,attn,0.4166666666666667,ceo_lastname
2,24,0.0003013338234289666,-5.423020371989054e-07,12,attn:24-2,attn,0.3333333333333333,ceo_lastname
20,24,0.007095752440720179,0.0004883397927151193,12,attn:24-20,attn,0.5,ceo_lastname
21,24,-4.7501074250359074e-05,-8.545782746966267e-05,12,attn:24-21,attn,0.4166666666666667,ceo_lastname
22,24,-0.00019714256416629057,1.0145756768385912e-07,12,attn:24-22,attn,0.5,ceo_lastname
23,24,0.0012314888363200742,0.0002076388880973762,12,attn:24-23,attn,0.5833333333333334,ceo_lastname
24,24,0.012379997527517032,-0.0018070906000511528,12,attn:24-24,attn,0.3333333333333333,ceo_lastname
