head,layer,mean_margin_recovery,median_margin_recovery,n,node_id,node_type,position_group,positive_fraction,task
27,24,0.034136604573838054,0.033871567130136185,12,attn:24-27,attn,answer,0.8333333333333334,ceo_lastname
27,24,0.00012173400409149335,4.4815521103789606e-09,12,attn:24-27,attn,query,0.5,ceo_lastname
27,24,7.66409593255017e-05,0.0,12,attn:24-27,attn,random_prompt,0.25,ceo_lastname
3,26,0.020985344466825175,0.01557379799165071,12,attn:26-3,attn,answer,1.0,ceo_lastname
3,26,0.00038253539704109573,0.0001502278639050784,12,attn:26-3,attn,query,0.5833333333333334,ceo_lastname
3,26,4.714051713766154e-05,0.0,12,attn:26-3,attn,random_prompt,0.3333333333333333,ceo_lastname
20,27,0.04278887411728425,0.02191554577908644,12,attn:27-20,attn,answer,0.75,ceo_lastname
20,27,9.97098195165265e-05,2.038975552998431e-08,12,attn:27-20,attn,query,0.5833333333333334,ceo_lastname
20,27,7.369758338551218e-05,0.0,12,attn:27-20,attn,random_prompt,0.25,ceo_lastname
5,27,0.01940236460990343,0.01722686873612253,12,attn:27-5,attn,answer,0.8333333333333334,ceo_lastname
5,27,0.0003361518010139861,-2.390161125535446e-09,12,attn:27-5,attn,query,0.4166666666666667,ceo_lastname
5,27,-2.1438647370243604e-05,0.0,12,attn:27-5,attn,random_prompt,0.3333333333333333,ceo_lastname
11,29,0.025260809195589953,0.021397115583675883,12,attn:29-11,attn,answer,1.0,ceo_lastname
11,29,0.0002204720427858247,2.893771575251306e-08,12,attn:29-11,attn,query,0.6666666666666666,ceo_lastname
11,29,-2.2705651981530335e-05,0.0,12,attn:29-11,attn,random_prompt,0.3333333333333333,ceo_lastname
14,30,0.025211709338285617,0.01732400970963642,12,attn:30-14,attn,answer,0.8333333333333334,ceo_lastname
14,30,8.755652575093842e-05,2.1196115553826306e-08,12,attn:30-14,attn,query,0.6666666666666666,ceo_lastname
14,30,9.350689445210677e-07,0.0,12,attn:30-14,attn,random_prompt,0.25,ceo_lastname
26,30,0.030514547017549815,0.023018043138849344,12,attn:30-26,attn,answer,1.0,ceo_lastname
26,30,3.288556973485584e-08,-2.9877014069193074e-10,12,attn:30-26,attn,query,0.3333333333333333,ceo_lastname
26,30,1.175143799468319e-06,0.0,12,attn:30-26,attn,random_prompt,0.16666666666666666,ceo_lastname
27,30,0.047798409688624456,0.03338561375464004,12,attn:30-27,attn,answer,1.0,ceo_lastname
27,30,-0.00013978890012369532,5.975402813838615e-10,12,attn:30-27,attn,query,0.5,ceo_lastname
27,30,-4.1073148774245183e-08,0.0,12,attn:30-27,attn,random_prompt,0.08333333333333333,ceo_lastname
1,31,0.019736019619951525,0.015835207131962764,12,attn:31-1,attn,answer,1.0,ceo_lastname
1,31,0.0,0.0,12,attn:31-1,attn,query,0.0,ceo_lastname
1,31,0.0,0.0,12,attn:31-1,attn,random_prompt,0.0,ceo_lastname
,28,0.04631123010530486,0.03153836708724168,12,mlp:28,mlp,answer,0.9166666666666666,ceo_lastname
,28,0.0004513323987278359,4.20586469089036e-07,12,mlp:28,mlp,query,0.5833333333333334,ceo_lastname
,28,3.5140273480107703e-06,0.0,12,mlp:28,mlp,random_prompt,0.25,ceo_lastname
,30,0.027365993809562367,0.06491984240009338,12,mlp:30,mlp,answer,0.6666666666666666,ceo_lastname
,30,0.00013859661472919707,3.7087545800375684e-08,12,mlp:30,mlp,query,0.5833333333333334,ceo_lastname
,30,1.150046996601993e-06,0.0,12,mlp:30,mlp,random_prompt,0.16666666666666666,ceo_lastname
,31,0.16016254320832587,0.18380302766320245,12,mlp:31,mlp,answer,0.8333333333333334,ceo_lastname
,31,0.0,0.0,12,mlp:31,mlp,query,0.0,ceo_lastname
,31,0.0,0.0,12,mlp:31,mlp,random_prompt,0.0,ceo_lastname
