condition,experiment,mean,median,n,positive_fraction,subset_mode,subset_size,subset_type,task,value_key
edge_bottom_gold,query_edge_masking,2.7385450003369992e-05,3.058533490377121e-07,16,0.5,,,,ceo_lastname,fraction_of_full_ablation_damage
edge_distractor,query_edge_masking,1.8498739418903078e-05,-2.2321242850647005e-08,16,0.4375,,,,ceo_lastname,fraction_of_full_ablation_damage
edge_gold,query_edge_masking,0.0033601693553806473,0.00012137310180466464,16,0.875,,,,ceo_lastname,fraction_of_full_ablation_damage
edge_nonqr_gold,query_edge_masking,0.0002416736392941254,-1.0115824496624454e-06,16,0.4375,,,,ceo_lastname,fraction_of_full_ablation_damage
edge_random,query_edge_masking,7.298534453553755e-06,-2.431912070155151e-07,16,0.4375,,,,ceo_lastname,fraction_of_full_ablation_damage
edge_bottom_gold,query_edge_masking,0.004040074272452153,2.420658217588059e-06,10,0.6,,,,employees_count_total,fraction_of_full_ablation_damage
edge_distractor,query_edge_masking,0.0030816157619697106,8.501743427972949e-06,9,0.8888888888888888,,,,employees_count_total,fraction_of_full_ablation_damage
edge_gold,query_edge_masking,-0.050214614339046816,0.03462208439821864,10,0.7,,,,employees_count_total,fraction_of_full_ablation_damage
edge_nonqr_gold,query_edge_masking,0.017064888264751617,0.008183700442160876,10,0.6,,,,employees_count_total,fraction_of_full_ablation_damage
edge_random,query_edge_masking,0.003635782667215931,-4.412611566106396e-06,10,0.4,,,,employees_count_total,fraction_of_full_ablation_damage
cumulative_bottom_top1,query_head_subset_patching,0.0,0.0,16,0.0,cumulative,1,bottom,ceo_lastname,sum_logprob_rescue
cumulative_bottom_top16,query_head_subset_patching,3.695613771019015e-05,1.6305415807758265e-05,16,0.625,cumulative,16,bottom,ceo_lastname,sum_logprob_rescue
cumulative_bottom_top2,query_head_subset_patching,0.0,0.0,16,0.0,cumulative,2,bottom,ceo_lastname,sum_logprob_rescue
cumulative_bottom_top4,query_head_subset_patching,3.695613771019015e-05,1.6305415807758265e-05,16,0.625,cumulative,4,bottom,ceo_lastname,sum_logprob_rescue
cumulative_bottom_top8,query_head_subset_patching,3.695613771019015e-05,1.6305415807758265e-05,16,0.625,cumulative,8,bottom,ceo_lastname,sum_logprob_rescue
cumulative_qr_top1,query_head_subset_patching,0.10873785696071218,0.08135659637726624,16,1.0,cumulative,1,qr,ceo_lastname,sum_logprob_rescue
cumulative_qr_top16,query_head_subset_patching,0.7104417971112464,0.7832138557172243,16,1.0,cumulative,16,qr,ceo_lastname,sum_logprob_rescue
cumulative_qr_top2,query_head_subset_patching,0.6244156969995875,0.6462153915329902,16,1.0,cumulative,2,qr,ceo_lastname,sum_logprob_rescue
cumulative_qr_top4,query_head_subset_patching,0.6487014839003098,0.6975059079861308,16,1.0,cumulative,4,qr,ceo_lastname,sum_logprob_rescue
cumulative_qr_top8,query_head_subset_patching,0.5724741282522865,0.5933249888596642,16,1.0,cumulative,8,qr,ceo_lastname,sum_logprob_rescue
cumulative_random00_top1,query_head_subset_patching,0.0,0.0,16,0.0,cumulative,1,random,ceo_lastname,sum_logprob_rescue
cumulative_random00_top16,query_head_subset_patching,-0.007929651328956835,-0.007331953926556745,16,0.125,cumulative,16,random,ceo_lastname,sum_logprob_rescue
cumulative_random00_top2,query_head_subset_patching,0.0,0.0,16,0.0,cumulative,2,random,ceo_lastname,sum_logprob_rescue
cumulative_random00_top4,query_head_subset_patching,-0.00010894621206082534,2.2373342216353268e-05,16,0.5625,cumulative,4,random,ceo_lastname,sum_logprob_rescue
cumulative_random00_top8,query_head_subset_patching,0.0023835305112526895,0.0014208287880161491,16,0.6875,cumulative,8,random,ceo_lastname,sum_logprob_rescue
cumulative_random01_top1,query_head_subset_patching,0.0,0.0,16,0.0,cumulative,1,random,ceo_lastname,sum_logprob_rescue
cumulative_random01_top16,query_head_subset_patching,0.00817202024228547,0.007209338789524327,16,0.625,cumulative,16,random,ceo_lastname,sum_logprob_rescue
cumulative_random01_top2,query_head_subset_patching,0.0,0.0,16,0.0,cumulative,2,random,ceo_lastname,sum_logprob_rescue
cumulative_random01_top4,query_head_subset_patching,0.0007086985011000865,0.0006733348954194344,16,0.875,cumulative,4,random,ceo_lastname,sum_logprob_rescue
cumulative_random01_top8,query_head_subset_patching,0.00034457195610017695,0.0006728421317958672,16,0.75,cumulative,8,random,ceo_lastname,sum_logprob_rescue
cumulative_random02_top1,query_head_subset_patching,0.00028375885735830523,-4.8435717258487926e-06,16,0.4375,cumulative,1,random,ceo_lastname,sum_logprob_rescue
cumulative_random02_top16,query_head_subset_patching,-0.02777663950038445,-0.022449388953232514,16,0.0625,cumulative,16,random,ceo_lastname,sum_logprob_rescue
cumulative_random02_top2,query_head_subset_patching,0.00028375885735830523,-4.8435717258487926e-06,16,0.4375,cumulative,2,random,ceo_lastname,sum_logprob_rescue
cumulative_random02_top4,query_head_subset_patching,0.00024207306280846997,5.615586205009814e-05,16,0.6875,cumulative,4,random,ceo_lastname,sum_logprob_rescue
cumulative_random02_top8,query_head_subset_patching,0.0009568876554528098,-0.00048149363565684177,16,0.375,cumulative,8,random,ceo_lastname,sum_logprob_rescue
cumulative_random03_top1,query_head_subset_patching,-0.00015880170173725153,-0.00044048306944319694,16,0.375,cumulative,1,random,ceo_lastname,sum_logprob_rescue
cumulative_random03_top16,query_head_subset_patching,-0.0020882394731120196,-0.001987947261064638,16,0.1875,cumulative,16,random,ceo_lastname,sum_logprob_rescue
cumulative_random03_top2,query_head_subset_patching,-0.00015880170173725153,-0.00044048306944319694,16,0.375,cumulative,2,random,ceo_lastname,sum_logprob_rescue
cumulative_random03_top4,query_head_subset_patching,-0.00040929616786204145,-0.000790073799403393,16,0.3125,cumulative,4,random,ceo_lastname,sum_logprob_rescue
cumulative_random03_top8,query_head_subset_patching,-0.00022760076022018647,3.6851488942244456e-05,16,0.5,cumulative,8,random,ceo_lastname,sum_logprob_rescue
cumulative_random04_top1,query_head_subset_patching,0.0,0.0,16,0.0,cumulative,1,random,ceo_lastname,sum_logprob_rescue
cumulative_random04_top16,query_head_subset_patching,0.005895846017306951,-9.828038462906445e-06,16,0.5,cumulative,16,random,ceo_lastname,sum_logprob_rescue
cumulative_random04_top2,query_head_subset_patching,0.00011804021290039691,0.00019143768226558515,16,0.8125,cumulative,2,random,ceo_lastname,sum_logprob_rescue
cumulative_random04_top4,query_head_subset_patching,-0.001093394116848512,-0.0006081480245006777,16,0.1875,cumulative,4,random,ceo_lastname,sum_logprob_rescue
cumulative_random04_top8,query_head_subset_patching,-0.0012724432018434398,-0.0010614710131713993,16,0.25,cumulative,8,random,ceo_lastname,sum_logprob_rescue
cumulative_same_layer_top1,query_head_subset_patching,-0.009876591212336073,-0.0050398597175786725,16,0.0,cumulative,1,same_layer,ceo_lastname,sum_logprob_rescue
cumulative_same_layer_top16,query_head_subset_patching,-0.09567974106766054,-0.0604165196353259,16,0.0625,cumulative,16,same_layer,ceo_lastname,sum_logprob_rescue
cumulative_same_layer_top2,query_head_subset_patching,-0.018763197019606596,-0.01142908271253791,16,0.0,cumulative,2,same_layer,ceo_lastname,sum_logprob_rescue
cumulative_same_layer_top4,query_head_subset_patching,-0.018763197019606596,-0.01142908271253791,16,0.0,cumulative,4,same_layer,ceo_lastname,sum_logprob_rescue
cumulative_same_layer_top8,query_head_subset_patching,-0.05427122955992098,-0.03113385208094661,16,0.0,cumulative,8,same_layer,ceo_lastname,sum_logprob_rescue
individual_qr_rank00_14-31,query_head_subset_patching,0.10873785696071218,0.08135659637726624,16,1.0,individual,1,qr,ceo_lastname,sum_logprob_rescue
individual_qr_rank01_13-18,query_head_subset_patching,0.4252760683684286,0.38241959380927926,16,1.0,individual,1,qr,ceo_lastname,sum_logprob_rescue
individual_qr_rank02_8-11,query_head_subset_patching,0.03361793922571233,0.010798402010946485,16,0.5625,individual,1,qr,ceo_lastname,sum_logprob_rescue
individual_qr_rank03_8-8,query_head_subset_patching,0.0789282401957184,0.04460765377541826,16,1.0,individual,1,qr,ceo_lastname,sum_logprob_rescue
individual_qr_rank04_14-29,query_head_subset_patching,-0.010286569971144445,-0.008095751504526773,16,0.1875,individual,1,qr,ceo_lastname,sum_logprob_rescue
individual_qr_rank05_14-13,query_head_subset_patching,0.0019311055602975222,0.0020186062959916596,16,0.6875,individual,1,qr,ceo_lastname,sum_logprob_rescue
individual_qr_rank06_10-31,query_head_subset_patching,0.05596973380917664,0.038456922795476786,16,0.9375,individual,1,qr,ceo_lastname,sum_logprob_rescue
individual_qr_rank07_14-22,query_head_subset_patching,-0.03496531467774706,-0.016572713695518597,16,0.0625,individual,1,qr,ceo_lastname,sum_logprob_rescue
individual_qr_rank08_13-13,query_head_subset_patching,-0.005319977405373042,-0.005681628819259694,16,0.25,individual,1,qr,ceo_lastname,sum_logprob_rescue
individual_qr_rank09_9-27,query_head_subset_patching,0.002384596233755119,0.001252213385385298,16,0.8125,individual,1,qr,ceo_lastname,sum_logprob_rescue
individual_qr_rank10_13-6,query_head_subset_patching,0.020971424637002606,0.012793145019114487,16,1.0,individual,1,qr,ceo_lastname,sum_logprob_rescue
individual_qr_rank11_14-20,query_head_subset_patching,0.1244581639006421,0.05962605822564269,16,1.0,individual,1,qr,ceo_lastname,sum_logprob_rescue
individual_qr_rank12_13-8,query_head_subset_patching,-0.013539034036872006,-0.0036794662765233972,16,0.25,individual,1,qr,ceo_lastname,sum_logprob_rescue
individual_qr_rank13_10-18,query_head_subset_patching,0.03424185207059562,0.024259415834510762,16,1.0,individual,1,qr,ceo_lastname,sum_logprob_rescue
