ablated_mean_logprob,ablated_sum_logprob,cache_clean_sum_logprob,clean_mean_logprob,clean_sum_logprob,condition,gold,idx,mean_logprob_rescue,num_answer_tokens,patched_mean_logprob,patched_sum_logprob,position_count,positions,sum_logprob_rescue,task
-1.8895440101623535,-5.6686320304870605,-0.001443550456315279,-0.00048118349513970315,-0.001443550456315279,patch_answer,Popham,828530_1993.txt_ceo_lastname_113,0.7365621929065206,3,-0.49813175201416016,-1.4943952560424805,3,"[7070, 7071, 7072]",0.7365621929027379,ceo_lastname
-1.8895440101623535,-5.6686320304870605,-0.001443550456315279,-0.00048118349513970315,-0.001443550456315279,patch_query,Popham,828530_1993.txt_ceo_lastname_113,0.9623234238769737,3,-0.07165460288524628,-0.21496379375457764,3,"[7053, 7054, 7055]",0.9623234265014062,ceo_lastname
-1.8895440101623535,-5.6686320304870605,-0.001443550456315279,-0.00048118349513970315,-0.001443550456315279,patch_early_prompt,Popham,828530_1993.txt_ceo_lastname_113,0.0012078294960826638,3,-1.8872623443603516,-5.661787033081055,3,"[0, 1, 2]",0.0012078294960764608,ceo_lastname
-1.8895440101623535,-5.6686320304870605,-0.001443550456315279,-0.00048118349513970315,-0.001443550456315279,patch_random_prompt_00,Popham,828530_1993.txt_ceo_lastname_113,7.629393211932813e-05,3,-1.8893998861312866,-5.66819953918457,3,"[428, 714, 2192]",7.631496711538489e-05,ceo_lastname
-1.8895440101623535,-5.6686320304870605,-0.001443550456315279,-0.00048118349513970315,-0.001443550456315279,patch_random_prompt_01,Popham,828530_1993.txt_ceo_lastname_113,-0.001176529421367042,3,-1.8917665481567383,-5.675299644470215,3,"[46, 2275, 4491]",-0.0011765294213609999,ceo_lastname
-1.8895440101623535,-5.6686320304870605,-0.001443550456315279,-0.00048118349513970315,-0.001443550456315279,patch_random_prompt_02,Popham,828530_1993.txt_ceo_lastname_113,1.798492196361333e-05,3,-1.8895100355148315,-5.668529987335205,3,"[1822, 1989, 6786]",1.800595695996953e-05,ceo_lastname
-1.8895440101623535,-5.6686320304870605,-0.001443550456315279,-0.00048118349513970315,-0.001443550456315279,patch_random_prompt_03,Popham,828530_1993.txt_ceo_lastname_113,7.307557766268154e-05,3,-1.8894059658050537,-5.668217658996582,3,"[493, 4690, 4735]",7.311764765520338e-05,ceo_lastname
-1.8895440101623535,-5.6686320304870605,-0.001443550456315279,-0.00048118349513970315,-0.001443550456315279,patch_random_prompt_04,Popham,828530_1993.txt_ceo_lastname_113,-0.001393736794696014,3,-1.892176866531372,-5.676530361175537,3,"[365, 4755, 5111]",-0.0013936947246959595,ceo_lastname
-4.422463417053223,-8.844926834106445,-0.08891995996236801,-0.044459979981184006,-0.08891995996236801,patch_answer,Goldsmith,201461_1993.txt_ceo_lastname_77,0.3245991253612375,2,-3.0013673305511475,-6.002734661102295,2,"[7097, 7098]",0.3245991253612375,ceo_lastname
-4.422463417053223,-8.844926834106445,-0.08891995996236801,-0.044459979981184006,-0.08891995996236801,patch_query,Goldsmith,201461_1993.txt_ceo_lastname_77,0.7771154088812326,2,-1.0202494859695435,-2.040498971939087,2,"[7081, 7082]",0.7771154088812326,ceo_lastname
-4.422463417053223,-8.844926834106445,-0.08891995996236801,-0.044459979981184006,-0.08891995996236801,patch_early_prompt,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.0009554162329655991,2,-4.4266462326049805,-8.853292465209961,2,"[0, 1]",-0.0009554162329655991,ceo_lastname
-4.422463417053223,-8.844926834106445,-0.08891995996236801,-0.044459979981184006,-0.08891995996236801,patch_random_prompt_00,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.0010098745225783213,2,-4.426884651184082,-8.853769302368164,2,"[2720, 2931]",-0.0010098745225783213,ceo_lastname
-4.422463417053223,-8.844926834106445,-0.08891995996236801,-0.044459979981184006,-0.08891995996236801,patch_random_prompt_01,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.0011376336700097678,2,-4.427443981170654,-8.854887962341309,2,"[522, 6913]",-0.0011376336700097678,ceo_lastname
-4.422463417053223,-8.844926834106445,-0.08891995996236801,-0.044459979981184006,-0.08891995996236801,patch_random_prompt_02,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.000461152796440532,2,-4.424482345581055,-8.84896469116211,2,"[1961, 5734]",-0.000461152796440532,ceo_lastname
-4.422463417053223,-8.844926834106445,-0.08891995996236801,-0.044459979981184006,-0.08891995996236801,patch_random_prompt_03,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.001120533767071373,2,-4.427369117736816,-8.854738235473633,2,"[260, 3965]",-0.001120533767071373,ceo_lastname
-4.422463417053223,-8.844926834106445,-0.08891995996236801,-0.044459979981184006,-0.08891995996236801,patch_random_prompt_04,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.0003110657502678695,2,-4.423825263977051,-8.847650527954102,2,"[3269, 6685]",-0.0003110657502678695,ceo_lastname
