condition,mean_sum_logprob_rescue,median_sum_logprob_rescue,n,positive_fraction,task
patch_answer,0.6371779425637383,0.6945268477534484,16,1.0,ceo_lastname
patch_early_prompt,0.0006661880576364881,0.00032093738261167664,16,0.5625,ceo_lastname
patch_query,0.7104417971112464,0.7832138557172243,16,1.0,ceo_lastname
patch_random_prompt_00,0.00019524942282061873,2.1592961902514992e-05,16,0.5,ceo_lastname
patch_random_prompt_01,0.0006055757633290197,7.884656877456747e-06,16,0.5,ceo_lastname
patch_random_prompt_02,-0.0013469681070730525,-0.00025338736925394317,16,0.4375,ceo_lastname
patch_random_prompt_03,-2.0817370164810507e-05,-0.00035746547966314634,16,0.4375,ceo_lastname
patch_random_prompt_04,-0.0002829062767358061,-0.0004947535883878871,16,0.375,ceo_lastname
patch_answer,-6.083749685704814,0.0441440396053976,16,0.5625,employees_count_total
patch_early_prompt,-0.026507306608070123,-0.003364724127864143,16,0.375,employees_count_total
patch_query,-8.555329779461593,0.6384468134889842,16,0.6875,employees_count_total
patch_random_prompt_00,-0.004900408239150117,-0.001259760615172201,16,0.3125,employees_count_total
patch_random_prompt_01,0.007410720328196713,0.0018810781580294689,16,0.5625,employees_count_total
patch_random_prompt_02,0.005846311402192168,0.00014815768891672244,16,0.5625,employees_count_total
patch_random_prompt_03,0.01619598860383751,0.0009380696922656578,16,0.5625,employees_count_total
patch_random_prompt_04,0.02212416689641228,-0.0014813402249183247,16,0.4375,employees_count_total
patch_answer,0.3485827183087355,0.31510214906404893,4,1.0,headquarters_state
patch_early_prompt,0.0025199649888237017,0.002513809377888504,4,0.5,headquarters_state
patch_query,0.8669023795821467,0.877215169323291,4,1.0,headquarters_state
patch_random_prompt_00,0.0015419763013376996,0.00024108008675600902,4,0.5,headquarters_state
patch_random_prompt_01,0.0020608062639653974,0.0009560955839823654,4,0.75,headquarters_state
patch_random_prompt_02,0.0014719041829964646,0.0003062248280381129,4,0.5,headquarters_state
patch_random_prompt_03,0.0032584103117987238,0.0033028234365940546,4,0.75,headquarters_state
patch_random_prompt_04,0.00044790003295127733,-0.00042741078392903115,4,0.5,headquarters_state
patch_answer,1.0169175397015637,0.7066715089026554,6,1.0,registrant_name
patch_early_prompt,-0.011595688958777444,-0.0010723823502350514,6,0.5,registrant_name
patch_query,0.3000411995578221,0.5407717125948444,6,0.8333333333333334,registrant_name
patch_random_prompt_00,-0.0006118841049363271,-0.0008728707016483785,6,0.5,registrant_name
patch_random_prompt_01,0.005228548700007929,0.004850347017084963,6,0.8333333333333334,registrant_name
patch_random_prompt_02,-0.03585441403396326,0.0015228488572567602,6,0.6666666666666666,registrant_name
patch_random_prompt_03,-0.004133392533409413,-0.0013352945996116116,6,0.16666666666666666,registrant_name
patch_random_prompt_04,0.008053540693392333,0.0031194998953095387,6,1.0,registrant_name
