condition,gold,idx,mean_logprob,num_answer_tokens,span_end,span_start,sum_logprob,task
clean,Popham,828530_1993.txt_ceo_lastname_113,-0.00048118349513970315,3,,,-0.001443550456315279,ceo_lastname
full_qr_ablation,Popham,828530_1993.txt_ceo_lastname_113,-1.8895440101623535,3,,,-5.6686320304870605,ceo_lastname
edge_gold,Popham,828530_1993.txt_ceo_lastname_113,-0.0004101492231711745,3,2691,2669,-0.0012304476695135236,ceo_lastname
edge_distractor,Popham,828530_1993.txt_ceo_lastname_113,-0.0004779694718308747,3,375,353,-0.0014339083572849631,ceo_lastname
edge_random,Popham,828530_1993.txt_ceo_lastname_113,-0.0004894764279015362,3,2297,2275,-0.0014684292254969478,ceo_lastname
edge_nonqr_gold,Popham,828530_1993.txt_ceo_lastname_113,-0.0005074901855550706,3,2691,2669,-0.001522470498457551,ceo_lastname
edge_bottom_gold,Popham,828530_1993.txt_ceo_lastname_113,-0.000485429132822901,3,2691,2669,-0.0014562873402610421,ceo_lastname
clean,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.044459979981184006,2,,,-0.08891995996236801,ceo_lastname
full_qr_ablation,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.422463417053223,2,,,-8.844926834106445,ceo_lastname
edge_gold,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.04446030780673027,2,3336,3295,-0.08892061561346054,ceo_lastname
edge_distractor,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.04580630362033844,2,317,276,-0.09161260724067688,ceo_lastname
edge_random,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.04445848613977432,2,2030,1989,-0.08891697227954865,ceo_lastname
edge_nonqr_gold,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.04579683020710945,2,3336,3295,-0.0915936604142189,ceo_lastname
edge_bottom_gold,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.045128338038921356,2,3336,3295,-0.09025667607784271,ceo_lastname
clean,Loucks,10456_1993.txt_ceo_lastname_99,-0.011746656149625778,2,,,-0.023493312299251556,ceo_lastname
full_qr_ablation,Loucks,10456_1993.txt_ceo_lastname_99,-3.307898759841919,2,,,-6.615797519683838,ceo_lastname
edge_gold,Loucks,10456_1993.txt_ceo_lastname_99,-0.012853315100073814,2,3232,3122,-0.02570663020014763,ceo_lastname
