ablated_sum_logprob,clean_sum_logprob,condition,full_ablation_damage,gold,head,head_rank,heads,idx,patched_recovery,patched_sum_logprob,subset_mode,subset_size,subset_type,sum_logprob_rescue,task
-5.6686320304870605,-0.001443550456315279,individual_qr_rank00_14-31,5.667188480030745,Popham,14-31,0,['14-31'],828530_1993.txt_ceo_lastname_113,1.0646591186523438,-4.603972911834717,individual,1,qr,0.1878637215620836,ceo_lastname
-5.6686320304870605,-0.001443550456315279,individual_qr_rank01_13-18,5.667188480030745,Popham,13-18,1,['13-18'],828530_1993.txt_ceo_lastname_113,4.406838059425354,-1.2617939710617065,individual,1,qr,0.7776056990081697,ceo_lastname
-5.6686320304870605,-0.001443550456315279,individual_qr_rank02_8-11,5.667188480030745,Popham,8-11,2,['8-11'],828530_1993.txt_ceo_lastname_113,1.0355710983276367,-4.633060932159424,individual,1,qr,0.18273101414866277,ceo_lastname
-5.6686320304870605,-0.001443550456315279,individual_qr_rank03_8-8,5.667188480030745,Popham,8-8,3,['8-8'],828530_1993.txt_ceo_lastname_113,1.1130709648132324,-4.555561065673828,individual,1,qr,0.19640620189981645,ceo_lastname
-5.6686320304870605,-0.001443550456315279,individual_qr_rank04_14-29,5.667188480030745,Popham,14-29,4,['14-29'],828530_1993.txt_ceo_lastname_113,-0.05654764175415039,-5.725179672241211,individual,1,qr,-0.009978076775354332,ceo_lastname
-5.6686320304870605,-0.001443550456315279,individual_qr_rank05_14-13,5.667188480030745,Popham,14-13,5,['14-13'],828530_1993.txt_ceo_lastname_113,0.050548553466796875,-5.618083477020264,individual,1,qr,0.008919511614076869,ceo_lastname
-5.6686320304870605,-0.001443550456315279,individual_qr_rank06_10-31,5.667188480030745,Popham,10-31,6,['10-31'],828530_1993.txt_ceo_lastname_113,0.3667330741882324,-5.301898956298828,individual,1,qr,0.06471164237442882,ceo_lastname
-5.6686320304870605,-0.001443550456315279,individual_qr_rank07_14-22,5.667188480030745,Popham,14-22,7,['14-22'],828530_1993.txt_ceo_lastname_113,-0.17563581466674805,-5.844267845153809,individual,1,qr,-0.03099170166752513,ceo_lastname
-5.6686320304870605,-0.001443550456315279,individual_qr_rank08_13-13,5.667188480030745,Popham,13-13,8,['13-13'],828530_1993.txt_ceo_lastname_113,-0.1428217887878418,-5.811453819274902,individual,1,qr,-0.02520152440510801,ceo_lastname
-5.6686320304870605,-0.001443550456315279,individual_qr_rank09_9-27,5.667188480030745,Popham,9-27,9,['9-27'],828530_1993.txt_ceo_lastname_113,0.018590927124023438,-5.650041103363037,individual,1,qr,0.003280449766146225,ceo_lastname
-5.6686320304870605,-0.001443550456315279,individual_qr_rank10_13-6,5.667188480030745,Popham,13-6,10,['13-6'],828530_1993.txt_ceo_lastname_113,0.0849456787109375,-5.583686351776123,individual,1,qr,0.014989033629330899,ceo_lastname
-5.6686320304870605,-0.001443550456315279,individual_qr_rank11_14-20,5.667188480030745,Popham,14-20,11,['14-20'],828530_1993.txt_ceo_lastname_113,1.5371427536010742,-4.131489276885986,individual,1,qr,0.27123550928603224,ceo_lastname
-5.6686320304870605,-0.001443550456315279,individual_qr_rank12_13-8,5.667188480030745,Popham,13-8,12,['13-8'],828530_1993.txt_ceo_lastname_113,-0.18175888061523438,-5.850390911102295,individual,1,qr,-0.032072143225109095,ceo_lastname
-5.6686320304870605,-0.001443550456315279,individual_qr_rank13_10-18,5.667188480030745,Popham,10-18,13,['10-18'],828530_1993.txt_ceo_lastname_113,0.43775320053100586,-5.230878829956055,individual,1,qr,0.07724345185862444,ceo_lastname
-5.6686320304870605,-0.001443550456315279,individual_qr_rank14_17-24,5.667188480030745,Popham,17-24,14,['17-24'],828530_1993.txt_ceo_lastname_113,0.43329858779907227,-5.235333442687988,individual,1,qr,0.07645741611133455,ceo_lastname
-5.6686320304870605,-0.001443550456315279,individual_qr_rank15_17-29,5.667188480030745,Popham,17-29,15,['17-29'],828530_1993.txt_ceo_lastname_113,-0.0055599212646484375,-5.674191951751709,individual,1,qr,-0.0009810722343609568,ceo_lastname
