condition,mean_sum_logprob_rescue,median_sum_logprob_rescue,n,positive_fraction,subset_size,subset_type,task
cumulative_bottom_top1,0.0,0.0,16,0.0,1,bottom,ceo_lastname
cumulative_bottom_top16,3.6956137710190144e-05,1.6305415807758265e-05,16,0.625,16,bottom,ceo_lastname
cumulative_bottom_top2,0.0,0.0,16,0.0,2,bottom,ceo_lastname
cumulative_bottom_top4,3.6956137710190144e-05,1.6305415807758265e-05,16,0.625,4,bottom,ceo_lastname
cumulative_bottom_top8,3.6956137710190144e-05,1.6305415807758265e-05,16,0.625,8,bottom,ceo_lastname
cumulative_qr_top1,0.10873785696071218,0.08135659637726624,16,1.0,1,qr,ceo_lastname
cumulative_qr_top16,0.7104417971112464,0.7832138557172243,16,1.0,16,qr,ceo_lastname
cumulative_qr_top2,0.6244156969995877,0.6462153915329902,16,1.0,2,qr,ceo_lastname
cumulative_qr_top4,0.6487014839003098,0.6975059079861308,16,1.0,4,qr,ceo_lastname
cumulative_qr_top8,0.5724741282522865,0.5933249888596642,16,1.0,8,qr,ceo_lastname
individual_qr_rank00_14-31,0.10873785696071218,0.08135659637726624,16,1.0,1,qr,ceo_lastname
individual_qr_rank01_13-18,0.4252760683684285,0.38241959380927926,16,1.0,1,qr,ceo_lastname
individual_qr_rank02_8-11,0.033617939225712316,0.010798402010946485,16,0.5625,1,qr,ceo_lastname
individual_qr_rank03_8-8,0.0789282401957184,0.04460765377541826,16,1.0,1,qr,ceo_lastname
individual_qr_rank04_14-29,-0.010286569971144445,-0.008095751504526773,16,0.1875,1,qr,ceo_lastname
individual_qr_rank05_14-13,0.0019311055602975222,0.0020186062959916596,16,0.6875,1,qr,ceo_lastname
individual_qr_rank06_10-31,0.05596973380917665,0.038456922795476786,16,0.9375,1,qr,ceo_lastname
individual_qr_rank07_14-22,-0.03496531467774706,-0.016572713695518597,16,0.0625,1,qr,ceo_lastname
individual_qr_rank08_13-13,-0.0053199774053730425,-0.005681628819259694,16,0.25,1,qr,ceo_lastname
individual_qr_rank09_9-27,0.0023845962337551195,0.001252213385385298,16,0.8125,1,qr,ceo_lastname
individual_qr_rank10_13-6,0.020971424637002606,0.012793145019114487,16,1.0,1,qr,ceo_lastname
individual_qr_rank11_14-20,0.12445816390064211,0.05962605822564269,16,1.0,1,qr,ceo_lastname
individual_qr_rank12_13-8,-0.013539034036872006,-0.0036794662765233972,16,0.25,1,qr,ceo_lastname
individual_qr_rank13_10-18,0.034241852070595616,0.024259415834510762,16,1.0,1,qr,ceo_lastname
individual_qr_rank14_17-24,0.022916066634009368,0.01213876042949412,16,1.0,1,qr,ceo_lastname
individual_qr_rank15_17-29,0.00037196351559467427,0.0005806775231942418,16,0.6875,1,qr,ceo_lastname
cumulative_random00_top1,0.0,0.0,16,0.0,1,random,ceo_lastname
