layer,mean_margin_recovery,median_margin_recovery,n,position_group,positive_fraction,task
0,1.0438815299258093,0.5084719375313944,29,answer,0.8275862068965517,ceo_lastname
1,1.043887125003527,0.5085369034094526,29,answer,0.7931034482758621,ceo_lastname
2,1.04430653349169,0.5087317693220068,29,answer,0.7931034482758621,ceo_lastname
3,1.0448254551498481,0.5091215963119757,29,answer,0.896551724137931,ceo_lastname
4,1.0478518040305551,0.5010658274327675,29,answer,0.7586206896551724,ceo_lastname
5,1.0422386029011923,0.4241485218007042,29,answer,0.7586206896551724,ceo_lastname
6,1.04205834570268,0.4242086814978934,29,answer,0.7931034482758621,ceo_lastname
7,1.0420943287167832,0.42432897151741966,29,answer,0.7586206896551724,ceo_lastname
8,1.0303458521888091,0.44761080370448825,29,answer,0.7931034482758621,ceo_lastname
9,1.0322250289866608,0.44863351855670447,29,answer,0.8275862068965517,ceo_lastname
10,1.004280719548609,0.4061244940452111,29,answer,0.8275862068965517,ceo_lastname
11,1.0040354587089286,0.40413673737003647,29,answer,0.8275862068965517,ceo_lastname
12,1.005590424309987,0.40672750341804603,29,answer,0.9310344827586207,ceo_lastname
13,1.014598267641779,0.40929013684186283,29,answer,0.9655172413793104,ceo_lastname
14,1.0060340715499552,0.4393488474988963,29,answer,0.9310344827586207,ceo_lastname
15,1.0387426115472898,0.436114398683598,29,answer,0.896551724137931,ceo_lastname
16,1.11338422501483,0.5043313248979637,29,answer,0.9655172413793104,ceo_lastname
17,1.1586386160517637,0.5580888124828359,29,answer,1.0,ceo_lastname
18,1.2595128113463832,0.7508454136892629,29,answer,1.0,ceo_lastname
19,1.243826114810167,0.7154034681970368,29,answer,1.0,ceo_lastname
20,1.2679643484517371,0.7322143898419765,29,answer,1.0,ceo_lastname
21,1.2788547617107036,0.7502099697856989,29,answer,1.0,ceo_lastname
22,1.3245349776049335,0.8973576518657449,29,answer,1.0,ceo_lastname
23,1.3595278743126562,0.9160010465888594,29,answer,1.0,ceo_lastname
24,1.4915929589951116,1.1776670182738997,29,answer,1.0,ceo_lastname
25,1.5578776557816771,1.2177578559071107,29,answer,1.0,ceo_lastname
26,1.6157106503272707,1.3442865710884986,29,answer,1.0,ceo_lastname
27,1.7289422955018308,1.3898639864352549,29,answer,1.0,ceo_lastname
28,1.7597926758727709,1.4126995485811733,29,answer,1.0,ceo_lastname
29,1.829934150154678,1.498714299524157,29,answer,1.0,ceo_lastname
30,2.0576055637639623,1.7406535904872356,29,answer,1.0,ceo_lastname
31,2.0966574720640665,1.7965793193850506,29,answer,1.0,ceo_lastname
0,1.0000521403612066,1.0001417536063248,29,gold_sentence,1.0,ceo_lastname
1,1.0001984819025893,1.000343198016401,29,gold_sentence,1.0,ceo_lastname
2,1.000043028333964,1.0003667201318114,29,gold_sentence,1.0,ceo_lastname
3,0.9998427645477266,1.0001835667925594,29,gold_sentence,1.0,ceo_lastname
4,0.9984068220949954,0.9999206990958238,29,gold_sentence,1.0,ceo_lastname
5,0.9999670894116538,1.0006446765687091,29,gold_sentence,1.0,ceo_lastname
6,0.9994229434947146,1.0005929474592323,29,gold_sentence,1.0,ceo_lastname
7,1.0000130615746319,1.0008728010230588,29,gold_sentence,1.0,ceo_lastname
8,1.0015355221673234,1.0006265661926879,29,gold_sentence,1.0,ceo_lastname
9,0.9984142110318853,1.0003615772374972,29,gold_sentence,1.0,ceo_lastname
10,0.9910809806542441,0.9900117129878526,29,gold_sentence,1.0,ceo_lastname
11,0.9886009420260125,0.9862363415361176,29,gold_sentence,1.0,ceo_lastname
12,0.9867784106379102,0.9867759981846351,29,gold_sentence,1.0,ceo_lastname
13,0.9708928207770027,0.9830979533893096,29,gold_sentence,1.0,ceo_lastname
14,0.9642119006074283,0.9708578775182777,29,gold_sentence,1.0,ceo_lastname
15,0.9005665507769968,0.9281989418499565,29,gold_sentence,1.0,ceo_lastname
16,0.8264619930444329,0.8709953748830774,29,gold_sentence,1.0,ceo_lastname
17,0.7715321333553706,0.7906539391957693,29,gold_sentence,1.0,ceo_lastname
18,0.6569727569489756,0.6657186199200339,29,gold_sentence,1.0,ceo_lastname
19,0.6704752474432903,0.6659386604143684,29,gold_sentence,1.0,ceo_lastname
20,0.6507968001362433,0.6266610965669644,29,gold_sentence,1.0,ceo_lastname
21,0.6500663982610431,0.6153156288923296,29,gold_sentence,1.0,ceo_lastname
22,0.5787960084333416,0.5424106220739247,29,gold_sentence,1.0,ceo_lastname
23,0.520993606361672,0.5064973964143152,29,gold_sentence,1.0,ceo_lastname
24,0.3009112801459262,0.26555604916229675,29,gold_sentence,1.0,ceo_lastname
25,0.19452471227138063,0.194371017627541,29,gold_sentence,1.0,ceo_lastname
26,0.1731299821012191,0.14377000440724785,29,gold_sentence,1.0,ceo_lastname
27,0.08184468602349337,0.060205451380416435,29,gold_sentence,1.0,ceo_lastname
28,0.07866627363825933,0.06023754878783227,29,gold_sentence,1.0,ceo_lastname
29,0.07659973169442566,0.056615079481857976,29,gold_sentence,1.0,ceo_lastname
30,0.008817306627250776,0.007627768530787322,29,gold_sentence,1.0,ceo_lastname
31,0.0,0.0,29,gold_sentence,0.0,ceo_lastname
0,0.999639744453464,1.00000003895169,29,gold_value,1.0,ceo_lastname
1,0.9981256004432218,1.0004724657035957,29,gold_value,1.0,ceo_lastname
2,0.993980635057711,0.9999999997907012,29,gold_value,1.0,ceo_lastname
3,0.9939103425300779,1.000000000336698,29,gold_value,1.0,ceo_lastname
4,0.9934503090515001,0.998204731298857,29,gold_value,1.0,ceo_lastname
5,0.9872537753105886,0.9988512223552801,29,gold_value,1.0,ceo_lastname
6,0.9856191447971054,0.9984024387374265,29,gold_value,1.0,ceo_lastname
7,0.9837646419965896,0.9921610374953695,29,gold_value,1.0,ceo_lastname
8,0.9804223025527805,0.9913588731005017,29,gold_value,1.0,ceo_lastname
9,0.9754849779039617,0.9881831014062719,29,gold_value,1.0,ceo_lastname
10,0.9628920916441446,0.974937314423369,29,gold_value,1.0,ceo_lastname
11,0.9602070749516415,0.9692982000160442,29,gold_value,1.0,ceo_lastname
12,0.9560120683594644,0.9548872107663814,29,gold_value,1.0,ceo_lastname
13,0.9536903790578644,0.9450635757863848,29,gold_value,1.0,ceo_lastname
14,0.9549439539807156,0.9637659327607753,29,gold_value,1.0,ceo_lastname
15,0.8912071527342863,0.9133306848288921,29,gold_value,1.0,ceo_lastname
16,0.8090245529196743,0.8468002112484279,29,gold_value,1.0,ceo_lastname
17,0.7655367610855873,0.763381950253249,29,gold_value,1.0,ceo_lastname
18,0.6508516121577933,0.6449591511321797,29,gold_value,1.0,ceo_lastname
19,0.6661593745784422,0.6644451542468067,29,gold_value,1.0,ceo_lastname
20,0.6456085138998277,0.6245782344187182,29,gold_value,1.0,ceo_lastname
21,0.6449553703289659,0.6126704432837413,29,gold_value,1.0,ceo_lastname
22,0.5756276678240879,0.5344367583232702,29,gold_value,1.0,ceo_lastname
23,0.5178224709304513,0.5047929121340594,29,gold_value,1.0,ceo_lastname
24,0.29725569063528295,0.2660506317393502,29,gold_value,1.0,ceo_lastname
25,0.19136053903111114,0.189869780946908,29,gold_value,1.0,ceo_lastname
26,0.1712283994823127,0.1433985654967691,29,gold_value,1.0,ceo_lastname
27,0.07903822688399634,0.05302032640319641,29,gold_value,1.0,ceo_lastname
28,0.07648940309869295,0.05927130035235164,29,gold_value,1.0,ceo_lastname
29,0.0759522506682255,0.0587234919366251,29,gold_value,1.0,ceo_lastname
30,0.009397240898164369,0.008378215192353091,29,gold_value,1.0,ceo_lastname
31,0.0,0.0,29,gold_value,0.0,ceo_lastname
0,-9.162997923157147e-05,0.0,29,query,0.4827586206896552,ceo_lastname
1,-0.00017399956001815003,-3.3970126565351846e-07,29,query,0.3793103448275862,ceo_lastname
2,-0.0002044480119166046,-3.0385292685186266e-05,29,query,0.3103448275862069,ceo_lastname
3,0.00011609786494434042,-7.944481475502407e-09,29,query,0.3448275862068966,ceo_lastname
4,-0.00013747449073881843,-7.375167465587201e-07,29,query,0.2413793103448276,ceo_lastname
5,-5.576204844245349e-05,0.0,29,query,0.4827586206896552,ceo_lastname
6,1.808289807695079e-05,-5.1364866080037285e-09,29,query,0.41379310344827586,ceo_lastname
7,-6.15325605618448e-05,-2.1923546840080804e-09,29,query,0.41379310344827586,ceo_lastname
8,5.900343476514114e-05,-0.0005221450246834305,29,query,0.3103448275862069,ceo_lastname
