condition,gold,idx,mean_logprob,num_answer_tokens,sum_logprob,task
clean,Gressette,754737_1993.txt_ceo_lastname_200,-0.31206074357032776,3,-0.9361822009086609,ceo_lastname
qr_ablate,Gressette,754737_1993.txt_ceo_lastname_200,-1.0402021408081055,3,-3.1206061840057373,ceo_lastname
patch_qr,Gressette,754737_1993.txt_ceo_lastname_200,-0.15089666843414307,3,-0.4526900053024292,ceo_lastname
patch_random,Gressette,754737_1993.txt_ceo_lastname_200,-1.0211939811706543,3,-3.063581943511963,ceo_lastname
patch_bottom,Gressette,754737_1993.txt_ceo_lastname_200,-1.0189177989959717,3,-3.056753158569336,ceo_lastname
patch_same_layer,Gressette,754737_1993.txt_ceo_lastname_200,-0.9755691289901733,3,-2.9267072677612305,ceo_lastname
clean,Beard,764764_1993.txt_ceo_lastname_45,-0.026395339518785477,2,-0.05279067903757095,ceo_lastname
qr_ablate,Beard,764764_1993.txt_ceo_lastname_45,-0.775365948677063,2,-1.550731897354126,ceo_lastname
patch_qr,Beard,764764_1993.txt_ceo_lastname_45,-0.04696663096547127,2,-0.09393326193094254,ceo_lastname
patch_random,Beard,764764_1993.txt_ceo_lastname_45,-0.625549852848053,2,-1.251099705696106,ceo_lastname
patch_bottom,Beard,764764_1993.txt_ceo_lastname_45,-0.7904418706893921,2,-1.5808837413787842,ceo_lastname
patch_same_layer,Beard,764764_1993.txt_ceo_lastname_45,-0.9163997173309326,2,-1.8327994346618652,ceo_lastname
clean,Goldsmith,201461_1993.txt_ceo_lastname_77,-1.0510826110839844,2,-2.1021652221679688,ceo_lastname
qr_ablate,Goldsmith,201461_1993.txt_ceo_lastname_77,-1.4293326139450073,2,-2.8586652278900146,ceo_lastname
patch_qr,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.027622217312455177,2,-0.055244434624910355,ceo_lastname
patch_random,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.39848050475120544,2,-0.7969610095024109,ceo_lastname
patch_bottom,Goldsmith,201461_1993.txt_ceo_lastname_77,-1.4158051013946533,2,-2.8316102027893066,ceo_lastname
patch_same_layer,Goldsmith,201461_1993.txt_ceo_lastname_77,-1.4918184280395508,2,-2.9836368560791016,ceo_lastname
clean,Peterson,859257_1993.txt_ceo_lastname_146,-0.18288439512252808,2,-0.36576879024505615,ceo_lastname
qr_ablate,Peterson,859257_1993.txt_ceo_lastname_146,-1.1450916528701782,2,-2.2901833057403564,ceo_lastname
patch_qr,Peterson,859257_1993.txt_ceo_lastname_146,-0.2465410679578781,2,-0.4930821359157562,ceo_lastname
patch_random,Peterson,859257_1993.txt_ceo_lastname_146,-0.9379799962043762,2,-1.8759599924087524,ceo_lastname
patch_bottom,Peterson,859257_1993.txt_ceo_lastname_146,-1.1541438102722168,2,-2.3082876205444336,ceo_lastname
patch_same_layer,Peterson,859257_1993.txt_ceo_lastname_146,-1.1328904628753662,2,-2.2657809257507324,ceo_lastname
