condition,gold,idx,mean_logprob,num_answer_tokens,sum_logprob,task
clean,Gressette,754737_1993.txt_ceo_lastname_200,-0.31206074357032776,3,-0.9361822009086609,ceo_lastname
qr_ablate,Gressette,754737_1993.txt_ceo_lastname_200,-1.0402021408081055,3,-3.1206061840057373,ceo_lastname
patch_qr,Gressette,754737_1993.txt_ceo_lastname_200,-0.15089666843414307,3,-0.4526900053024292,ceo_lastname
patch_bottom,Gressette,754737_1993.txt_ceo_lastname_200,-1.0189177989959717,3,-3.056753158569336,ceo_lastname
patch_same_layer,Gressette,754737_1993.txt_ceo_lastname_200,-0.9755691289901733,3,-2.9267072677612305,ceo_lastname
patch_random_00,Gressette,754737_1993.txt_ceo_lastname_200,-1.0211939811706543,3,-3.063581943511963,ceo_lastname
patch_random_01,Gressette,754737_1993.txt_ceo_lastname_200,-1.031691551208496,3,-3.0950746536254883,ceo_lastname
patch_random_02,Gressette,754737_1993.txt_ceo_lastname_200,-1.2541311979293823,3,-3.7623934745788574,ceo_lastname
patch_random_03,Gressette,754737_1993.txt_ceo_lastname_200,-0.9320622682571411,3,-2.796186685562134,ceo_lastname
patch_random_04,Gressette,754737_1993.txt_ceo_lastname_200,-1.1685426235198975,3,-3.5056278705596924,ceo_lastname
patch_random_05,Gressette,754737_1993.txt_ceo_lastname_200,-1.0568770170211792,3,-3.170630931854248,ceo_lastname
patch_random_06,Gressette,754737_1993.txt_ceo_lastname_200,-0.6682871580123901,3,-2.004861354827881,ceo_lastname
patch_random_07,Gressette,754737_1993.txt_ceo_lastname_200,-0.803325355052948,3,-2.409976005554199,ceo_lastname
patch_random_08,Gressette,754737_1993.txt_ceo_lastname_200,-0.9257029294967651,3,-2.777108669281006,ceo_lastname
patch_random_09,Gressette,754737_1993.txt_ceo_lastname_200,-0.8567134141921997,3,-2.5701401233673096,ceo_lastname
patch_random_10,Gressette,754737_1993.txt_ceo_lastname_200,-1.0453081130981445,3,-3.1359243392944336,ceo_lastname
patch_random_11,Gressette,754737_1993.txt_ceo_lastname_200,-1.0387383699417114,3,-3.1162149906158447,ceo_lastname
patch_random_12,Gressette,754737_1993.txt_ceo_lastname_200,-1.039833903312683,3,-3.1195015907287598,ceo_lastname
patch_random_13,Gressette,754737_1993.txt_ceo_lastname_200,-1.005286693572998,3,-3.015860080718994,ceo_lastname
patch_random_14,Gressette,754737_1993.txt_ceo_lastname_200,-0.9050000905990601,3,-2.7150001525878906,ceo_lastname
patch_random_15,Gressette,754737_1993.txt_ceo_lastname_200,-0.9824472665786743,3,-2.9473416805267334,ceo_lastname
patch_random_16,Gressette,754737_1993.txt_ceo_lastname_200,-1.4020142555236816,3,-4.206042766571045,ceo_lastname
patch_random_17,Gressette,754737_1993.txt_ceo_lastname_200,-0.8521332144737244,3,-2.5563995838165283,ceo_lastname
patch_random_18,Gressette,754737_1993.txt_ceo_lastname_200,-0.8037586212158203,3,-2.411275863647461,ceo_lastname
