condition,gold,idx,mean_logprob,num_answer_tokens,sum_logprob,task
clean,Pritzker,100923_1993.txt_ceo_lastname_190,-0.29573988914489746,3,-0.8872196674346924,ceo_lastname
qr_ablate,Pritzker,100923_1993.txt_ceo_lastname_190,-0.0629727691411972,3,-0.1889183074235916,ceo_lastname
patch_qr,Pritzker,100923_1993.txt_ceo_lastname_190,-0.23023925721645355,3,-0.6907177567481995,ceo_lastname
patch_bottom,Pritzker,100923_1993.txt_ceo_lastname_190,-0.0629727691411972,3,-0.1889183074235916,ceo_lastname
patch_same_layer,Pritzker,100923_1993.txt_ceo_lastname_190,-0.0629727691411972,3,-0.1889183074235916,ceo_lastname
patch_random,Pritzker,100923_1993.txt_ceo_lastname_190,-0.0629727691411972,3,-0.1889183074235916,ceo_lastname
clean,Beard,764764_1993.txt_ceo_lastname_45,-0.026395339518785477,2,-0.05279067903757095,ceo_lastname
qr_ablate,Beard,764764_1993.txt_ceo_lastname_45,-0.011297064833343029,2,-0.022594129666686058,ceo_lastname
patch_qr,Beard,764764_1993.txt_ceo_lastname_45,-0.019962769001722336,2,-0.03992553800344467,ceo_lastname
patch_bottom,Beard,764764_1993.txt_ceo_lastname_45,-0.011297064833343029,2,-0.022594129666686058,ceo_lastname
patch_same_layer,Beard,764764_1993.txt_ceo_lastname_45,-0.011297064833343029,2,-0.022594129666686058,ceo_lastname
patch_random,Beard,764764_1993.txt_ceo_lastname_45,-0.011297064833343029,2,-0.022594129666686058,ceo_lastname
clean,Popham,828530_1993.txt_ceo_lastname_113,-0.03700109198689461,3,-0.11100327223539352,ceo_lastname
qr_ablate,Popham,828530_1993.txt_ceo_lastname_113,-0.03340287506580353,3,-0.10020861774682999,ceo_lastname
patch_qr,Popham,828530_1993.txt_ceo_lastname_113,-0.05383780226111412,3,-0.16151340305805206,ceo_lastname
patch_bottom,Popham,828530_1993.txt_ceo_lastname_113,-0.03340287506580353,3,-0.10020861774682999,ceo_lastname
patch_same_layer,Popham,828530_1993.txt_ceo_lastname_113,-0.03340287506580353,3,-0.10020861774682999,ceo_lastname
patch_random,Popham,828530_1993.txt_ceo_lastname_113,-0.03340287506580353,3,-0.10020861774682999,ceo_lastname
clean,Sudikoff,799319_1993.txt_ceo_lastname_127,-0.009468023665249348,3,-0.02840407006442547,ceo_lastname
qr_ablate,Sudikoff,799319_1993.txt_ceo_lastname_127,-0.040899608284235,3,-0.1226988211274147,ceo_lastname
patch_qr,Sudikoff,799319_1993.txt_ceo_lastname_127,-0.021824784576892853,3,-0.06547435373067856,ceo_lastname
patch_bottom,Sudikoff,799319_1993.txt_ceo_lastname_127,-0.040899608284235,3,-0.1226988211274147,ceo_lastname
patch_same_layer,Sudikoff,799319_1993.txt_ceo_lastname_127,-0.040899608284235,3,-0.1226988211274147,ceo_lastname
patch_random,Sudikoff,799319_1993.txt_ceo_lastname_127,-0.040899608284235,3,-0.1226988211274147,ceo_lastname
clean,Goode,40878_1993.txt_ceo_lastname_19,-0.01914430782198906,2,-0.03828861564397812,ceo_lastname
qr_ablate,Goode,40878_1993.txt_ceo_lastname_19,-0.031036099418997765,2,-0.06207219883799553,ceo_lastname
patch_qr,Goode,40878_1993.txt_ceo_lastname_19,-0.022413134574890137,2,-0.04482626914978027,ceo_lastname
patch_bottom,Goode,40878_1993.txt_ceo_lastname_19,-0.031036099418997765,2,-0.06207219883799553,ceo_lastname
patch_same_layer,Goode,40878_1993.txt_ceo_lastname_19,-0.031036099418997765,2,-0.06207219883799553,ceo_lastname
patch_random,Goode,40878_1993.txt_ceo_lastname_19,-0.031036099418997765,2,-0.06207219883799553,ceo_lastname
clean,McCraw,37748_1993.txt_ceo_lastname_63,-0.09025350958108902,2,-0.18050701916217804,ceo_lastname
qr_ablate,McCraw,37748_1993.txt_ceo_lastname_63,-0.3384380340576172,2,-0.6768760681152344,ceo_lastname
patch_qr,McCraw,37748_1993.txt_ceo_lastname_63,-0.10431326180696487,2,-0.20862652361392975,ceo_lastname
patch_bottom,McCraw,37748_1993.txt_ceo_lastname_63,-0.3384380340576172,2,-0.6768760681152344,ceo_lastname
patch_same_layer,McCraw,37748_1993.txt_ceo_lastname_63,-0.3384380340576172,2,-0.6768760681152344,ceo_lastname
patch_random,McCraw,37748_1993.txt_ceo_lastname_63,-0.3384380340576172,2,-0.6768760681152344,ceo_lastname
clean,Goodes,104669_1993.txt_ceo_lastname_84,-3.985795021057129,2,-7.971590042114258,ceo_lastname
qr_ablate,Goodes,104669_1993.txt_ceo_lastname_84,-3.5779411792755127,2,-7.155882358551025,ceo_lastname
patch_qr,Goodes,104669_1993.txt_ceo_lastname_84,-3.7344820499420166,2,-7.468964099884033,ceo_lastname
patch_bottom,Goodes,104669_1993.txt_ceo_lastname_84,-3.5779411792755127,2,-7.155882358551025,ceo_lastname
patch_same_layer,Goodes,104669_1993.txt_ceo_lastname_84,-3.5779411792755127,2,-7.155882358551025,ceo_lastname
patch_random,Goodes,104669_1993.txt_ceo_lastname_84,-3.5779411792755127,2,-7.155882358551025,ceo_lastname
clean,Allender,34501_1993.txt_ceo_lastname_220,-0.3296787142753601,2,-0.6593574285507202,ceo_lastname
qr_ablate,Allender,34501_1993.txt_ceo_lastname_220,-0.08388659358024597,2,-0.16777318716049194,ceo_lastname
patch_qr,Allender,34501_1993.txt_ceo_lastname_220,-0.2770674228668213,2,-0.5541348457336426,ceo_lastname
patch_bottom,Allender,34501_1993.txt_ceo_lastname_220,-0.08388659358024597,2,-0.16777318716049194,ceo_lastname
patch_same_layer,Allender,34501_1993.txt_ceo_lastname_220,-0.08388659358024597,2,-0.16777318716049194,ceo_lastname
patch_random,Allender,34501_1993.txt_ceo_lastname_220,-0.08388659358024597,2,-0.16777318716049194,ceo_lastname
clean,Goldsmith,201461_1993.txt_ceo_lastname_77,-1.0510826110839844,2,-2.1021652221679688,ceo_lastname
qr_ablate,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.03828590363264084,2,-0.07657180726528168,ceo_lastname
