model,target_task,K,sensitivity_mean_drop,on_target_drop,off_target_mean_drop,mean_accuracy,baseline_accuracy
Llama-3.1-8B-Instruct,ceo_lastname,0,0.0,0.0,0.0,0.9166666666666666,0.9166666666666666
Llama-3.1-8B-Instruct,ceo_lastname,8,0.5625,0.75,0.5357142857142857,0.3541666666666667,0.9166666666666666
Llama-3.1-8B-Instruct,ceo_lastname,16,0.8645833333333333,0.8333333333333333,0.869047619047619,0.05208333333333333,0.9166666666666666
Llama-3.1-8B-Instruct,ceo_lastname,32,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,0.9166666666666666
Llama-3.1-8B-Instruct,ceo_lastname,48,0.9010416666666666,0.9166666666666666,0.8988095238095237,0.015625,0.9166666666666666
Llama-3.1-8B-Instruct,ceo_lastname,64,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,0.9166666666666666
Llama-3.1-8B-Instruct,ceo_lastname,96,0.9114583333333333,0.9166666666666666,0.9107142857142857,0.005208333333333333,0.9166666666666666
Llama-3.1-8B-Instruct,ceo_lastname,128,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,0.9166666666666666
Llama-3.1-8B-Instruct,employees_count_total,0,0.0,0.0,0.0,0.9583333333333334,0.9583333333333334
Llama-3.1-8B-Instruct,employees_count_total,8,0.46875000000000006,0.9166666666666667,0.4047619047619048,0.4895833333333333,0.9583333333333334
Llama-3.1-8B-Instruct,employees_count_total,16,0.8125,0.9166666666666667,0.7976190476190477,0.14583333333333331,0.9583333333333334
Llama-3.1-8B-Instruct,employees_count_total,32,0.9166666666666667,0.9583333333333334,0.9107142857142857,0.041666666666666664,0.9583333333333334
Llama-3.1-8B-Instruct,employees_count_total,48,0.9270833333333334,0.9583333333333334,0.9226190476190477,0.03125,0.9583333333333334
Llama-3.1-8B-Instruct,employees_count_total,64,0.9270833333333334,0.9583333333333334,0.9226190476190477,0.03125,0.9583333333333334
Llama-3.1-8B-Instruct,employees_count_total,96,0.953125,0.9583333333333334,0.9523809523809524,0.005208333333333333,0.9583333333333334
Llama-3.1-8B-Instruct,employees_count_total,128,0.953125,0.9583333333333334,0.9523809523809524,0.005208333333333333,0.9583333333333334
Llama-3.1-8B-Instruct,headquarters_city,0,0.0,0.0,0.0,0.9583333333333334,0.9583333333333334
Llama-3.1-8B-Instruct,headquarters_city,8,0.34375,0.41666666666666674,0.33333333333333337,0.6145833333333334,0.9583333333333334
Llama-3.1-8B-Instruct,headquarters_city,16,0.53125,0.5,0.5357142857142858,0.4270833333333333,0.9583333333333334
Llama-3.1-8B-Instruct,headquarters_city,32,0.53125,0.7916666666666667,0.49404761904761907,0.4270833333333333,0.9583333333333334
Llama-3.1-8B-Instruct,headquarters_city,48,0.5260416666666667,0.625,0.511904761904762,0.43229166666666663,0.9583333333333334
Llama-3.1-8B-Instruct,headquarters_city,64,0.5572916666666667,0.5416666666666667,0.5595238095238095,0.4010416666666667,0.9583333333333334
Llama-3.1-8B-Instruct,headquarters_city,96,0.671875,0.6666666666666667,0.6726190476190477,0.2864583333333333,0.9583333333333334
Llama-3.1-8B-Instruct,headquarters_city,128,0.7395833333333334,0.7083333333333334,0.7440476190476192,0.21875,0.9583333333333334
Llama-3.1-8B-Instruct,headquarters_state,0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334
Llama-3.1-8B-Instruct,headquarters_state,8,0.11979166666666671,0.04166666666666674,0.130952380952381,0.7135416666666666,0.8333333333333334
Llama-3.1-8B-Instruct,headquarters_state,16,0.20312500000000003,0.20833333333333337,0.2023809523809524,0.6302083333333334,0.8333333333333334
Llama-3.1-8B-Instruct,headquarters_state,32,0.35416666666666674,0.5416666666666667,0.32738095238095244,0.4791666666666667,0.8333333333333334
Llama-3.1-8B-Instruct,headquarters_state,48,0.3697916666666667,0.20833333333333337,0.39285714285714285,0.4635416666666667,0.8333333333333334
Llama-3.1-8B-Instruct,headquarters_state,64,0.2760416666666667,0.29166666666666674,0.27380952380952384,0.5572916666666666,0.8333333333333334
Llama-3.1-8B-Instruct,headquarters_state,96,0.38020833333333337,0.25,0.39880952380952384,0.453125,0.8333333333333334
Llama-3.1-8B-Instruct,headquarters_state,128,0.5,0.5833333333333334,0.48809523809523814,0.3333333333333333,0.8333333333333334
Llama-3.1-8B-Instruct,holder_record_amount,0,0.0,0.0,0.0,0.7916666666666666,0.7916666666666666
Llama-3.1-8B-Instruct,holder_record_amount,8,0.44791666666666663,0.625,0.42261904761904756,0.34375,0.7916666666666666
Llama-3.1-8B-Instruct,holder_record_amount,16,0.5364583333333333,0.625,0.5238095238095238,0.2552083333333333,0.7916666666666666
Llama-3.1-8B-Instruct,holder_record_amount,32,0.5520833333333333,0.7083333333333333,0.5297619047619048,0.23958333333333334,0.7916666666666666
Llama-3.1-8B-Instruct,holder_record_amount,48,0.5677083333333333,0.5833333333333333,0.5654761904761905,0.22395833333333334,0.7916666666666666
Llama-3.1-8B-Instruct,holder_record_amount,64,0.5833333333333333,0.625,0.5773809523809523,0.20833333333333334,0.7916666666666666
Llama-3.1-8B-Instruct,holder_record_amount,96,0.6302083333333333,0.75,0.613095238095238,0.16145833333333334,0.7916666666666666
Llama-3.1-8B-Instruct,holder_record_amount,128,0.6354166666666666,0.7916666666666666,0.613095238095238,0.15625,0.7916666666666666
Llama-3.1-8B-Instruct,incorporation_state,0,0.0,0.0,0.0,1.0,1.0
Llama-3.1-8B-Instruct,incorporation_state,8,0.25520833333333337,0.20833333333333337,0.2619047619047619,0.7447916666666666,1.0
Llama-3.1-8B-Instruct,incorporation_state,16,0.359375,0.29166666666666663,0.36904761904761907,0.640625,1.0
Llama-3.1-8B-Instruct,incorporation_state,32,0.453125,0.5,0.44642857142857145,0.546875,1.0
Llama-3.1-8B-Instruct,incorporation_state,48,0.484375,0.45833333333333337,0.4880952380952381,0.515625,1.0
Llama-3.1-8B-Instruct,incorporation_state,64,0.5,0.5416666666666667,0.49404761904761907,0.5,1.0
Llama-3.1-8B-Instruct,incorporation_state,96,0.6145833333333334,0.5416666666666667,0.625,0.38541666666666663,1.0
Llama-3.1-8B-Instruct,incorporation_state,128,0.78125,0.7083333333333333,0.7916666666666667,0.21875,1.0
Llama-3.1-8B-Instruct,incorporation_year,0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334
Llama-3.1-8B-Instruct,incorporation_year,8,0.22916666666666669,0.20833333333333337,0.23214285714285718,0.6041666666666666,0.8333333333333334
Llama-3.1-8B-Instruct,incorporation_year,16,0.5416666666666667,0.5833333333333334,0.5357142857142857,0.2916666666666667,0.8333333333333334
Llama-3.1-8B-Instruct,incorporation_year,32,0.5885416666666667,0.8333333333333334,0.5535714285714286,0.24479166666666666,0.8333333333333334
Llama-3.1-8B-Instruct,incorporation_year,48,0.59375,0.75,0.5714285714285714,0.23958333333333334,0.8333333333333334
Llama-3.1-8B-Instruct,incorporation_year,64,0.6979166666666667,0.7083333333333334,0.6964285714285714,0.13541666666666666,0.8333333333333334
Llama-3.1-8B-Instruct,incorporation_year,96,0.78125,0.6666666666666667,0.7976190476190477,0.05208333333333333,0.8333333333333334
Llama-3.1-8B-Instruct,incorporation_year,128,0.8125,0.8333333333333334,0.8095238095238095,0.020833333333333332,0.8333333333333334
Llama-3.1-8B-Instruct,registrant_name,0,0.0,0.0,0.0,1.0,1.0
Llama-3.1-8B-Instruct,registrant_name,8,0.11979166666666667,0.04166666666666663,0.13095238095238096,0.8802083333333334,1.0
Llama-3.1-8B-Instruct,registrant_name,16,0.265625,0.16666666666666663,0.27976190476190477,0.734375,1.0
Llama-3.1-8B-Instruct,registrant_name,32,0.390625,0.625,0.35714285714285715,0.609375,1.0
Llama-3.1-8B-Instruct,registrant_name,48,0.578125,0.25,0.625,0.421875,1.0
Llama-3.1-8B-Instruct,registrant_name,64,0.6197916666666667,0.5416666666666667,0.630952380952381,0.3802083333333333,1.0
Llama-3.1-8B-Instruct,registrant_name,96,0.9427083333333334,0.7916666666666666,0.9642857142857143,0.057291666666666664,1.0
Llama-3.1-8B-Instruct,registrant_name,128,0.984375,1.0,0.9821428571428571,0.015625,1.0
Qwen2.5-7B-Instruct,ceo_lastname,0,0.0,0.0,0.0,0.9428571428571428,0.9428571428571428
Qwen2.5-7B-Instruct,ceo_lastname,8,0.11785714285714284,0.0,0.13469387755102039,0.825,0.9428571428571428
Qwen2.5-7B-Instruct,ceo_lastname,16,0.425,0.02857142857142858,0.4816326530612245,0.5178571428571429,0.9428571428571428
